2013,04,19,1
2013,12,28,1
2015,07,08,1
2017,11,19,1
2013,01,01,1
2015,12,16,1
2013,07,11,1
2013,01,07,1
2013,01,06,1
2013,01,09,1
2013,01,08,1
2016,03,12,1
2013,03,16,1
2012,05,22,3
2012,05,23,1
2012,05,21,1
2012,05,26,1
2012,05,27,4
2012,05,24,1
2012,05,25,1
2018,03,22,1
2012,03,17,1
2012,03,16,1
2017,04,14,1
2017,04,10,1
2016,12,02,2
2012,09,30,1
2017,03,02,1
2012,06,03,4
2012,06,02,1
2012,06,05,2
2012,06,04,1
2012,06,07,1
2012,06,06,1
2012,06,09,1
2012,06,08,2
2015,08,31,1
2013,08,23,1
2013,08,26,1
2012,04,10,2
2012,04,12,1
2012,04,13,2
2012,04,15,1
2012,04,16,2
2012,04,17,2
2012,04,18,1
2012,04,19,1
2012,08,07,2
2012,08,06,2
2012,08,09,3
2012,08,08,1
2016,04,04,1
2013,10,26,1
2012,07,15,1
2012,07,14,1
2012,07,17,1
2012,07,16,4
2012,07,11,4
2012,07,10,2
2012,07,13,3
2012,07,19,1
2012,07,18,3
2012,05,11,2
2012,12,01,1
2012,12,02,1
2012,12,03,1
2012,12,04,1
2012,12,07,1
2015,03,02,1
2015,03,07,1
2015,03,06,1
2013,11,17,1
2016,06,01,1
2014,04,17,1
2015,01,11,1
2017,10,15,1
2017,06,09,1
2016,06,20,1
2017,06,02,1
2011,12,13,1
2015,07,03,1
2012,11,29,1
2012,11,27,1
2012,11,23,1
2012,11,20,1
2014,06,20,1
2014,06,29,1
2013,04,27,1
2017,05,12,1
2014,09,24,1
2017,05,14,1
2014,05,05,1
2015,09,07,1
2013,07,01,1
2013,01,30,1
2012,08,31,2
2014,03,06,1
2013,03,04,1
2013,03,02,1
2013,03,09,1
2013,03,08,1
2015,06,23,1
2012,05,31,1
2012,09,02,1
2012,11,17,1
2012,11,12,1
2012,11,11,3
2017,01,23,1
2012,11,18,2
2016,12,19,1
2016,12,18,1
2012,03,24,1
2012,03,25,1
2012,03,20,1
2012,03,21,1
2012,03,22,1
2012,03,23,2
2012,09,08,1
2012,09,09,3
2012,09,01,1
2017,01,25,1
2012,09,03,1
2012,09,04,3
2012,09,06,1
2012,09,07,3
2009,10,25,1
2017,08,30,1
2012,10,08,1
2012,10,02,2
2012,10,03,1
2012,10,04,2
2016,06,19,1
2016,06,16,1
2016,06,14,1
2014,08,30,1
2012,06,30,3
2014,10,30,1
2016,08,05,1
2012,04,05,1
2012,04,09,2
2012,04,08,1
2012,07,28,1
2012,07,29,1
2013,10,13,1
2013,10,14,1
2009,12,02,1
2012,07,20,1
2012,07,21,2
2012,07,22,1
2012,07,25,3
2012,07,26,4
2012,07,27,2
2013,07,30,1
2011,07,19,1
2012,12,16,1
2012,12,15,2
2012,12,11,1
2015,03,31,1
2012,12,18,1
2015,04,04,1
2014,04,04,1
2017,10,02,1
2013,06,01,1
2013,06,05,1
2017,06,15,1
2013,06,07,1
2013,06,08,1
2013,06,09,1
2017,01,15,1
2013,02,09,1
2016,02,29,1
2013,02,07,1
2011,04,13,1
2011,11,18,1
2013,09,25,1
2012,07,06,2
2017,03,25,1
2017,05,04,1
2017,03,27,1
2017,05,09,1
2016,10,22,1
2016,11,09,1
2012,05,10,1
2012,05,17,2
2013,05,24,1
2012,05,14,1
2017,07,12,1
2015,07,20,1
2013,08,07,1
2018,04,12,1
2018,04,13,1
2013,01,29,2
2018,04,11,2
2018,04,16,10
2018,04,17,13
2018,04,14,2
2013,01,23,2
2018,04,18,14
2018,04,19,8
2013,01,26,1
2013,01,24,2
2012,08,29,1
2012,08,28,3
2012,08,21,1
2012,08,20,1
2012,08,22,1
2012,08,25,1
2012,08,24,1
2012,08,27,2
2012,08,26,1
2014,01,14,1
2014,03,10,1
2016,08,15,1
2014,03,14,1
2016,04,29,1
2017,02,19,2
2017,02,18,1
2012,01,04,1
2013,01,11,1
2012,05,08,3
2012,05,09,3
2012,05,06,1
2012,05,07,1
2014,02,21,1
2012,05,01,2
2012,05,02,2
2012,11,04,2
2012,11,07,1
2012,11,01,1
2018,04,10,1
2012,03,31,1
2012,03,30,2
2012,09,18,1
2012,09,17,1
2012,09,16,1
2012,09,14,1
2012,09,13,3
2012,09,12,2
2012,09,11,3
2012,02,27,1
2012,02,26,1
2012,02,25,1
2012,02,23,1
2012,02,21,1
2015,10,15,1
2016,07,18,1
2015,05,22,1
2012,10,10,1
2012,10,13,1
2012,10,12,2
2012,10,16,1
2012,06,29,3
2012,06,23,3
2012,06,22,1
2012,06,21,1
2012,06,20,3
2012,06,27,1
2012,06,26,1
2012,06,25,4
2016,02,13,1
2014,07,05,1
2015,08,14,1
2013,09,10,1
2013,04,01,1
2013,09,14,1
2014,09,06,1
2015,07,17,1
2015,07,13,1
2012,07,31,2
2012,07,30,4
2013,07,23,1
2015,12,22,1
2013,01,17,3
2013,01,15,1
2013,07,29,2
2013,01,18,1
2014,03,28,1
2012,02,15,1
2011,07,05,1
2014,03,24,1
2012,02,19,2
2016,01,12,1
2013,03,29,1
2015,06,01,1
2015,06,06,1
2015,06,05,1
2012,03,08,3
2012,03,09,2
2012,03,02,1
2012,03,03,2
2012,03,01,2
2012,03,07,1
2013,06,16,1
2017,04,03,1
2012,09,25,1
2012,09,23,1
2012,09,20,1
2012,09,21,4
2013,02,19,1
2017,01,08,1
2016,07,29,1
2017,08,19,1
2017,05,30,1
2014,05,27,1
2012,06,12,1
2012,06,13,3
2012,06,10,3
2012,06,11,3
2012,06,16,2
2012,06,14,2
2012,06,15,2
2012,06,18,2
2012,06,19,1
2015,08,28,1
2015,08,26,1
2013,08,19,1
2013,08,15,1
2013,08,11,1
2013,08,10,1
2018,04,05,1
2012,04,28,2
2012,04,25,1
2012,04,27,2
2012,04,26,1
2012,04,23,1
2009,10,20,1
2012,08,18,1
2012,08,19,2
2012,08,14,2
2012,08,16,2
2012,08,17,1
2012,08,10,1
2012,08,11,2
2012,08,12,2
2012,12,27,1
2015,04,24,1
2015,04,22,1
2016,08,09,1
2013,10,15,2
2012,01,11,1
2012,05,13,2
2012,07,07,2
2012,07,04,1
2012,07,05,2
2012,07,02,2
2012,05,16,2
2012,05,15,1
2012,07,01,1
2012,05,19,1
2012,05,18,1
2012,07,08,1
2016,01,28,1
2012,12,31,1
2013,11,08,1
2014,01,23,1
2011,11,14,1
2015,10,06,2
2013,05,08,1
2012,10,24,1
2012,10,27,1
2012,10,20,3
2013,05,06,1
2012,10,23,2
2017,10,20,1
2015,01,27,1
2013,06,20,1
2013,02,27,1
2011,12,29,1
2014,10,11,1
2013,02,22,1
2013,02,23,1
2011,12,20,1
2013,02,25,1
