activity_date,course_item_type_category,course_item_type_desc,count
2016-10-28 03:00:00,,others,24
2016-10-29 03:00:00,notebook,notebook,24048
2016-10-29 03:00:00,supplement,supplement,8703
2016-10-29 03:00:00,lecture,lecture,69636
2016-10-29 03:00:00,programming,graded programming,315936
2016-10-29 03:00:00,,others,11
2016-10-29 03:00:00,quiz,exam,12148
2016-10-30 03:00:00,lecture,lecture,75996
2016-10-30 03:00:00,supplement,supplement,7906
2016-10-30 03:00:00,,others,24
2016-10-30 03:00:00,notebook,notebook,18988
2016-10-30 03:00:00,quiz,exam,16636
2016-10-30 03:00:00,programming,graded programming,465764
2016-10-31 03:00:00,supplement,supplement,6576
2016-10-31 03:00:00,lecture,lecture,75117
2016-10-31 03:00:00,,others,28
2016-10-31 03:00:00,programming,graded programming,590260
2016-10-31 03:00:00,notebook,notebook,22104
2016-10-31 03:00:00,quiz,exam,14204
2016-11-01 03:00:00,lecture,lecture,46934
2016-11-01 03:00:00,supplement,supplement,4367
2016-11-01 03:00:00,notebook,notebook,20876
2016-11-01 03:00:00,,others,34
2016-11-01 03:00:00,quiz,exam,6020
2016-11-01 03:00:00,programming,graded programming,552072
2016-11-02 03:00:00,supplement,supplement,4615
2016-11-02 03:00:00,notebook,notebook,22184
2016-11-02 03:00:00,programming,graded programming,753824
2016-11-02 03:00:00,lecture,lecture,53081
2016-11-02 03:00:00,,others,22
2016-11-02 03:00:00,quiz,exam,5904
2016-11-03 03:00:00,programming,graded programming,850872
2016-11-03 03:00:00,lecture,lecture,47449
2016-11-03 03:00:00,supplement,supplement,3335
2016-11-03 03:00:00,notebook,notebook,25032
2016-11-03 03:00:00,quiz,exam,4044
2016-11-03 03:00:00,,others,65
2016-11-04 03:00:00,quiz,exam,2788
2016-11-04 03:00:00,notebook,notebook,23128
2016-11-04 03:00:00,programming,graded programming,842236
2016-11-04 03:00:00,lecture,lecture,40338
2016-11-04 03:00:00,supplement,supplement,2448
2016-11-04 03:00:00,,others,29
2016-11-05 03:00:00,supplement,supplement,2389
2016-11-05 03:00:00,lecture,lecture,40073
2016-11-05 03:00:00,quiz,exam,2688
2016-11-05 03:00:00,notebook,notebook,26852
2016-11-05 03:00:00,programming,graded programming,837704
2016-11-05 03:00:00,,others,53
2016-11-06 02:00:00,supplement,supplement,2441
2016-11-06 02:00:00,notebook,notebook,36020
2016-11-06 02:00:00,,others,75
2016-11-06 02:00:00,quiz,exam,2308
2016-11-06 02:00:00,programming,graded programming,1243768
2016-11-06 02:00:00,lecture,lecture,46709
2016-11-07 03:00:00,notebook,notebook,36388
2016-11-07 03:00:00,lecture,lecture,40480
2016-11-07 03:00:00,supplement,supplement,2509
2016-11-07 03:00:00,quiz,exam,2368
2016-11-07 03:00:00,,others,87
2016-11-07 03:00:00,programming,graded programming,1384696
2016-11-08 03:00:00,supplement,supplement,3226
2016-11-08 03:00:00,lecture,lecture,43076
2016-11-08 03:00:00,quiz,exam,2888
2016-11-08 03:00:00,notebook,notebook,31160
2016-11-08 03:00:00,,others,96
2016-11-08 03:00:00,programming,graded programming,1184168
2016-11-09 03:00:00,quiz,exam,1600
2016-11-09 03:00:00,lecture,lecture,24608
2016-11-09 03:00:00,notebook,notebook,19312
2016-11-09 03:00:00,supplement,supplement,1430
2016-11-09 03:00:00,,others,87
2016-11-09 03:00:00,programming,graded programming,956556
