Date,Open,High,Low,Close,AdjClose,Volume
1/3/07,231.494354,236.789917,229.065155,232.28421,232.28421,15513200
1/4/07,232.984665,240.411362,232.661758,240.068588,240.068588,15877700
1/5/07,239.69104,242.174881,237.510223,242.020889,242.020889,13833500
1/8/07,242.269272,243.352234,239.542007,240.227554,240.227554,9570600
1/9/07,241.156509,242.54747,239.045242,241.181351,241.181351,10832700
1/10/07,240.649811,245.180344,239.462524,243.14856,243.14856,12014600
1/11/07,246.993546,249.253845,246.486847,248.245407,248.245407,14510100
1/12/07,249.373062,250.868347,248.384491,250.868347,250.868347,9005500
1/16/07,252.135101,254.842499,250.023834,250.510666,250.510666,15236200
1/17/07,250.068542,252.2444,245.592651,247.033279,247.033279,13485200
1/18/07,245.662201,246.635864,242.140106,242.338821,242.338821,11941100
1/19/07,242.41333,243.794357,241.797348,243.292618,243.292618,10021200
1/22/07,244.658737,244.733246,237.703964,238.866409,238.866409,10878900
1/23/07,238.841568,240.808777,237.102875,237.977188,237.977188,9391600
1/24/07,240.659744,248.155991,240.083481,247.922501,247.922501,12197400
1/25/07,248.881271,250.619965,241.260834,242.467987,242.467987,12819800
1/26/07,243.878799,247.341278,241.941406,246.317932,246.317932,11064400
1/29/07,247.390961,247.763535,243.665192,244.643829,244.643829,9613400
1/30/07,245.403885,247.390961,244.022873,245.562851,245.562851,8415200
1/31/07,246.640839,250.868347,246.154007,249.129654,249.129654,24570900
2/1/07,251.365112,251.370087,239.209167,239.318466,239.318466,31521000
2/2/07,239.745682,240.932968,237.361191,239.194275,239.194275,12654600
2/5/07,237.207199,237.455582,231.588745,232.070602,232.070602,14507500
2/6/07,232.537567,235.120773,232.120285,234.216644,234.216644,10712900
2/7/07,235.379089,235.64238,232.875366,233.486389,233.486389,8293100
2/8/07,232.512726,235.344315,231.072098,233.993103,233.993103,8206400
2/9/07,234.301102,234.812775,229.258896,229.452637,229.452637,9780400
2/12/07,228.851547,229.701019,226.039825,227.664261,227.664261,11583800
2/13/07,228.091492,229.89476,227.152588,228.06665,228.06665,8178000
2/14/07,228.513733,233.04924,228.126251,231.459579,231.459579,11471600
2/15/07,231.494354,231.558929,228.871414,229.243988,229.243988,8137300
2/16/07,229.904694,233.555939,229.537079,233.45163,233.45163,12434200
2/20/07,232.721375,234.847549,230.853516,234.524643,234.524643,8188000
2/21/07,233.401947,237.793381,232.358734,236.392502,236.392502,11354500
2/22/07,237.798355,240.55542,235.662247,236.387527,236.387527,11562400
2/23/07,236.337845,236.933975,232.388535,233.789429,233.789429,7815600
2/26/07,234.887283,236.089462,230.376617,230.962814,230.962814,7991400
2/27/07,226.029892,228.414383,222.140198,222.935028,222.935028,18746600
2/28/07,223.749725,225.369186,220.088531,223.272827,223.272827,16169000
3/1/07,219.904724,224.74823,218.578354,222.666763,222.666763,17483300
3/2/07,221.116852,222.900253,217.922623,217.922623,217.922623,13252700
3/5/07,217.097992,221.310593,217.088058,219.050293,219.050293,12792800
3/6/07,222.28923,228.016968,222.244507,227.296661,227.296661,15165300
3/7/07,229.850052,230.073593,225.677185,226.347824,226.347824,13153100
3/8/07,228.126251,231.245972,225.582794,225.890793,225.890793,10795300
3/9/07,227.520203,227.718903,223.595718,225.016479,225.016479,10020000
3/12/07,224.822739,226.154083,224.097458,225.905701,225.905701,6975800
3/13/07,223.600693,224.504807,219.984207,220.083572,220.083572,12837400
3/14/07,220.182922,222.880371,218.081589,222.552505,222.552505,16138000
3/15/07,222.482956,223.456635,220.535629,221.653366,221.653366,7939500
3/16/07,221.385101,221.906708,218.523712,219.00061,219.00061,11391800
3/19/07,220.192856,222.800888,218.891327,222.169998,222.169998,10462800
3/20/07,221.454651,222.353806,220.36673,221.201294,221.201294,6887500
3/21/07,221.211227,226.809814,221.166519,226.799881,226.799881,11671900
3/22/07,226.332916,229.591721,224.802872,229.527145,229.527145,11435200
3/23/07,229.234055,230.197784,227.063171,229.422821,229.422821,8276000
3/26/07,228.786957,230.997589,226.337891,230.997589,230.997589,9481800
3/27/07,230.277267,231.111847,228.682632,230.312042,230.312042,7530900
3/28/07,229.442703,231.216156,228.588257,229.447662,229.447662,9242800
3/29/07,230.774033,231.494354,226.029892,228.970764,228.970764,8028800
3/30/07,229.556946,230.202759,226.596207,227.599686,227.599686,6804200
4/2/07,227.40097,227.783493,224.599197,227.783493,227.783493,6941700
4/3/07,230.52565,235.592697,230.500809,234.773026,234.773026,13088100
4/4/07,234.54451,234.971741,233.272781,233.988129,233.988129,7606600
4/5/07,234.127228,234.519669,233.292664,234.231552,234.231552,5466900
4/9/07,234.961807,234.971741,231.29068,232.592209,232.592209,6164000
4/10/07,232.035828,233.873871,231.077072,231.742737,231.742737,5997200
4/11/07,231.524155,233.183365,229.810303,230.764099,230.764099,7673500
4/12/07,230.500809,232.487885,229.626495,232.18486,232.18486,5450900
4/13/07,232.711441,232.870407,230.182877,231.638412,231.638412,5625800
4/16/07,232.7164,236.953842,232.562408,235.602631,235.602631,10221800
4/17/07,235.369156,236.655777,234.27626,234.872375,234.872375,6461900
4/18/07,234.107361,238.399445,233.24794,236.46701,236.46701,11414700
4/19/07,235.716888,239.417816,233.277756,234.301102,234.301102,22162400
4/20/07,243.675125,244.658737,239.452591,239.681107,239.681107,24481100
4/23/07,238.498795,240.932968,237.584747,237.992096,237.992096,11422900
4/24/07,237.758606,238.439178,236.238495,237.222092,237.222092,7437400
4/25/07,238.449112,239.129684,236.516693,237.450607,237.450607,7985200
4/26/07,237.505264,240.659744,237.013458,239.035309,239.035309,8303300
4/27/07,238.483887,239.641357,237.619507,237.957321,237.957321,5889300
4/30/07,238.026871,239.119751,234.166977,234.166977,234.166977,7329700
5/1/07,234.569351,234.87735,230.585266,232.984665,232.984665,7364000
5/2/07,232.810791,234.017944,231.360229,231.385056,231.385056,6165200
5/3/07,231.603638,235.503281,231.141647,235.085999,235.085999,7235000
5/4/07,233.541046,235.885788,231.434738,234.037811,234.037811,7951300
5/7/07,234.54451,234.882324,231.727829,232.125244,232.125244,6079300
5/8/07,231.558929,232.572342,230.863449,231.896729,231.896729,5847900
5/9/07,231.568863,234.340836,230.441208,233.108856,233.108856,7830200
5/10/07,232.010986,233.228073,229.020447,229.243988,229.243988,7420400
5/11/07,229.422821,231.991119,229.010513,231.861969,231.861969,5926300
5/14/07,231.236038,232.244476,228.513733,229.39798,229.39798,7795600
5/15/07,229.487411,229.775528,227.227112,227.520203,227.520203,8291500
5/16/07,229.507278,235.04129,228.026901,234.778,234.778,13193600
5/17/07,234.703476,236.07457,233.883804,233.958328,233.958328,9381800
5/18/07,234.489868,234.822708,233.357239,233.640396,233.640396,7439800
5/21/07,233.24794,238.051697,231.85202,233.779495,233.779495,12398600
5/22/07,234.971741,237.957321,234.971741,236.392502,236.392502,7727900
5/23/07,238.856476,240.143097,235.344315,235.453598,235.453598,10186200
5/24/07,236.039795,238.051697,234.226578,235.632431,235.632431,8401400
5/25/07,238.300095,240.908127,237.092941,240.197739,240.197739,10766400
5/29/07,240.932968,244.310989,240.436188,241.98114,241.98114,10503800
5/30/07,240.684586,247.808243,239.939423,247.689026,247.689026,14585700
5/31/07,248.662689,252.746124,246.923996,247.346252,247.346252,17964600
6/1/07,248.881271,250.878281,247.356186,248.583206,248.583206,9660200
6/4/07,247.346252,253.605545,247.187286,251.896652,251.896652,14294300
6/5/07,253.227997,257.82312,251.668137,257.743622,257.743622,21030000
6/6/07,256.705383,258.707367,255.965195,257.450531,257.450531,15875900
6/7/07,258.195679,261.548889,254.599075,255.865845,255.865845,21399200
6/8/07,256.432159,258.141052,253.083939,256.079437,256.079437,12799000
6/11/07,255.349197,257.450531,253.352188,254.017853,254.017853,9355700
6/12/07,252.711349,254.181793,249.959259,250.754089,250.754089,12922400
6/13/07,251.906586,252.626907,247.733734,250.987564,250.987564,14159400
6/14/07,251.057114,251.305496,249.229004,249.795319,249.795319,9302500
6/15/07,252.453033,252.855423,248.995529,251.310471,251.310471,12428400
6/18/07,251.454529,256.332794,250.490799,255.935394,255.935394,9734600
6/19/07,255.344238,256.953766,254.117218,255.493256,255.493256,8767200
6/20/07,256.809692,257.698914,252.885223,253.33728,253.33728,8732700
6/21/07,253.83902,255.980103,251.504211,255.393906,255.393906,8876700
6/22/07,256.541443,260.798767,256.382477,260.793793,260.793793,14501000
6/25/07,262.780853,265.766449,259.998962,262.00589,262.00589,15953000
6/26/07,264.643738,264.877228,261.419708,263.416718,263.416718,11452900
6/27/07,260.803711,262.289063,258.101288,261.44455,261.44455,12325700
6/28/07,260.74411,263.039185,260.207611,260.808685,260.808685,8391000
6/29/07,261.310425,261.995972,258.051636,259.661163,259.661163,7811600
7/2/07,261.04715,264.206604,260.406311,263.476349,263.476349,7020400
7/3/07,263.814148,265.473358,262.045654,265.443542,265.443542,3767800
7/5/07,266.049591,270.44104,264.355621,269.065002,269.065002,9949900
7/6/07,268.876221,270.177765,267.624359,267.957184,267.957184,5529500
7/9/07,269.745575,272.597015,268.38443,269.526978,269.526978,7508100
7/10/07,270.138,271.732635,269.074921,269.914459,269.914459,7762100
7/11/07,270.048584,271.484253,268.260223,270.47583,270.47583,6661500
7/12/07,271.166321,271.891602,268.364532,270.903046,270.903046,6927900
7/13/07,272.184692,274.549316,271.856842,274.295959,274.295959,10542200
7/16/07,273.371979,277.485229,272.880188,274.708282,274.708282,13284700
7/17/07,275.726654,277.062958,274.405273,275.706787,275.706787,8713400
7/18/07,275.155365,275.458405,270.147949,272.974548,272.974548,12239000
7/19/07,274.941772,274.971588,269.368011,272.522491,272.522491,22399000
7/20/07,254.296051,259.899597,253.103806,258.379486,258.379486,35775700
7/23/07,257.828064,258.319885,254.420242,254.599075,254.599075,12796000
7/24/07,253.004456,257.669098,251.916519,255.339264,255.339264,11216600
7/25/07,256.819641,256.839508,251.14653,253.232971,253.232971,11162000
7/26/07,252.726257,254.638824,247.82811,252.358643,252.358643,13856200
7/27/07,252.621933,256.640808,251.11673,254.291077,254.291077,11089800
7/30/07,254.80275,257.992004,253.600571,256.387451,256.387451,7978000
7/31/07,258.434143,258.538452,253.352188,253.352188,253.352188,8596400
