Year,Month,Contract_Interest_Rate,Initial_Fees_and_Charges,Effective_Interest_Rate,Term_to_Maturity,Mortgage_Loan_Amount,Purchase_Price,Loan-to-Price_Ratio
2009,08,5.23,0.67,5.33,28.1,221.8,311.6,74.6
2009,09,5.15,0.62,5.24,28.0,212.4,298.4,74.5
2009,10,5.02,0.63,5.11,28.1,211.2,297.0,74.0
2009,11,5.00,0.61,5.09,28.0,211.2,299.0,73.9
2009,12,4.92,0.62,5.01,27.4,217.8,306.4,73.9
2010,01,4.99,0.54,5.07,27.8,218.0,314.7,72.7
2010,02,5.03,0.63,5.12,27.5,208.6,292.4,74.8
2010,03,4.99,0.61,5.08,27.6,212.6,298.3,74.2
2010,04,5.02,0.63,5.12,27.6,218.8,307.4,74.3
2010,05,4.99,0.72,5.10,27.5,218.6,305.1,74.1
2010,06,4.90,0.80,5.02,27.7,219.9,309.6,74.3
2010,07,4.77,0.87,4.90,27.6,223.4,315.3,74.4
2010,08,4.63,0.81,4.74,27.5,216.7,309.6,73.3
2010,09,4.52,0.82,4.64,27.6,210.9,299.6,73.3
2010,10,4.44,0.87,4.57,28.0,215.0,310.7,72.2
2010,11,4.35,0.80,4.46,28.1,214.8,303.4,74.8
2010,12,4.52,0.80,4.63,28.4,209.5,291.0,75.6
2011,01,4.70,0.80,4.81,27.3,202.4,290.7,73.4
2011,02,4.80,0.80,4.92,27.2,216.9,307.7,74.7
2011,03,4.84,0.95,4.98,27.6,208.6,288.0,75.5
2011,04,4.80,0.88,4.93,27.8,204.4,284.1,75.8
2011,05,4.75,0.85,4.87,27.9,222.9,307.2,76.4
2011,06,4.61,0.94,4.74,28.2,219.1,301.3,76.3
2011,07,4.55,0.85,4.67,28.3,213.8,296.9,76.0
2011,08,4.52,0.90,4.65,27.6,214.3,293.3,77.2
2011,09,4.36,0.94,4.49,29.0,220.7,298.3,78.3
2011,10,4.17,0.83,4.29,28.7,218.5,298.0,78.4
2011,11,4.20,0.78,4.31,28.5,220.5,299.8,77.1
2011,12,4.13,0.83,4.24,28.8,221.7,297.7,78.7
2012,01,4.14,0.89,4.27,28.7,237.0,334.7,75.7
2012,02,4.05,0.93,4.17,28.8,244.3,347.2,75.3
2012,03,3.89,0.93,3.93,27.3,247.1,346.5,74.8
2012,04,3.93,0.90,4.03,27.3,256.2,354.0,75.3
2012,05,3.78,1.03,3.91,27.7,263.2,357.5,76.4
2012,06,3.67,1.07,3.81,27.5,263.2,363.3,75.6
2012,07,3.65,0.95,3.78,27.5,258.9,355.0,76.1
2012,08,3.56,1.07,3.69,27.5,256.9,354.0,75.8
2012,09,3.55,0.95,3.67,27.4,254.6,352.2,75.6
2012,10,3.44,1.05,3.57,27.5,257.4,353.5,75.8
2012,11,3.36,1.08,3.49,27.4,272.3,377.2,75.7
2012,12,3.28,1.15,3.42,27.4,274.1,376.5,76.3
2013,01,3.34,0.95,3.46,27.1,254.7,354.4,76.4
2013,02,3.42,0.99,3.55,27.1,258.7,353.9,77.2
2013,03,3.53,0.93,3.65,27.4,263.4,361.7,77.3
2013,04,3.55,1.04,3.69,27.4,266.5,360.4,78.2
2013,05,3.40,1.20,3.57,27.9,280.6,374.6,78.4
2013,06,3.55,0.90,3.67,27.7,282.4,382.2,77.9
2013,07,4.00,0.93,4.12,27.6,278.2,374.2,78.2
2013,08,4.25,1.06,4.40,27.8,274.5,368.9,77.9
2013,09,4.36,1.08,4.51,27.6,270.1,363.7,77.9
2013,10,4.32,1.22,4.49,27.7,269.0,359.8,78.3
2013,11,4.22,1.19,4.38,27.8,264.9,355.1,78.2
2013,12,4.25,1.14,4.40,27.8,277.6,369.2,78.3
2014,01,4.36,1.21,4.52,28.2,284.4,380.4,78.1
2014,02,4.22,1.28,4.38,28.1,275.7,366.8,78.4
2014,03,4.22,1.15,4.37,28.0,278.5,372.0,78.3
2014,04,4.23,1.14,4.38,28.2,283.8,376.9,78.5
2014,05,4.13,1.19,4.28,28.3,282.6,370.8,79.1
2014,06,4.09,1.13,4.24,28.3,292.2,388.6,78.2
2014,07,4.09,1.16,4.25,28.4,287.8,382.5,78.1
2014,08,4.09,1.14,4.24,28.2,287.1,380.8,78.3
2014,09,4.07,1.12,4.22,28.3,281.0,375.2,77.9
2014,10,4.11,1.26,4.27,28.5,285.0,379.5,78.0
2014,11,4.01,1.21,4.16,28.2,293.6,395.8,77.7
2014,12,4.00,1.26,4.15,28.4,298.3,397.5,78.1
2015,01,3.89,1.15,4.04,28.3,291.3,394.2,77.7
2015,02,3.77,1.12,3.92,28.3,294.2,396.1,78.0
2015,03,3.80,1.10,3.95,28.4,310.8,425.1,77.2
2015,04,3.78,1.21,3.94,28.5,310.6,416.5,78.0
2015,05,3.75,1.11,3.90,28.6,310.9,416.2,78.0
2015,06,3.85,1.09,3.99,28.5,325.6,437.7,77.8
2015,07,4.01,1.25,4.17,28.5,304.6,406.3,78.4
2015,08,3.99,1.21,4.15,28.3,303.3,407.6,77.9
2015,09,3.95,1.19,4.10,28.2,307.7,416.1,77.7
2015,10,3.90,1.19,4.04,28.2,308.6,422.3,77.2
2015,11,3.86,1.19,4.01,28.4,319.8,431.2,78.0
2015,12,3.96,1.20,4.10,28.3,318.0,427.6,77.6
2016,01,3.97,1.10,4.10,28.4,310.4,427.8,76.9
2016,02,3.89,1.22,4.03,28.4,316.7,424.7,78.1
2016,03,3.76,1.13,3.88,28.8,325.0,433.5,78.9
2016,04,3.75,1.14,3.89,28.7,322.4,430.1,78.7
2016,05,3.70,1.12,3.83,28.8,329.5,433.4,79.4
2016,06,3.70,1.11,3.83,28.9,333.9,438.5,79.7
2016,07,3.63,1.17,3.77,28.7,325.7,428.2,79.7
2016,08,3.59,1.17,3.72,28.7,322.7,421.7,80.1
2016,09,3.60,1.28,3.73,28.6,302.9,396.9,79.9
2016,10,3.60,1.20,3.72,28.5,312.7,411.2,79.7
2016,11,3.64,1.24,3.77,28.6,314.7,414.0,79.8
2016,12,3.91,1.23,3.99,28.6,319.1,421.0,79.2
