pr,"	Year", Month, Country, ISO3, ISO2,,,,,,,,,,,
234.559,2001,2,MYS,,,,,,,,,,,,,
306.808,2001,3,MYS,,,,,,,,,,,,,
266.243,2001,4,MYS,,,,,,,,,,,,,
148.799,2001,5,MYS,,,,,,,,,,,,,
163.967,2001,6,MYS,,,,,,,,,,,,,
141.668,2001,7,MYS,,,,,,,,,,,,,
168.11,2001,8,MYS,,,,,,,,,,,,,
286.581,2001,9,MYS,,,,,,,,,,,,,
311.828,2001,10,MYS,,,,,,,,,,,,,
346.909,2001,11,MYS,,,,,,,,,,,,,
288.199,2001,12,MYS,,,,,,,,,,,,,
221.028,2002,1,MYS,,,,,,,,,,,,,
109.059,2002,2,MYS,,,,,,,,,,,,,
234.589,2002,3,MYS,,,,,,,,,,,,,
253.838,2002,4,MYS,,,,,,,,,,,,,
212.239,2002,5,MYS,,,,,,,,,,,,,
193.469,2002,6,MYS,,,,,,,,,,,,,
162.623,2002,7,MYS,,,,,,,,,,,,,
232.131,2002,8,MYS,,,,,,,,,,,,,
244.952,2002,9,MYS,,,,,,,,,,,,,
225.867,2002,10,MYS,,,,,,,,,,,,,
339.321,2002,11,MYS,,,,,,,,,,,,,
308.928,2002,12,MYS,,,,,,,,,,,,,
321.155,2003,1,MYS,,,,,,,,,,,,,
164.576,2003,2,MYS,,,,,,,,,,,,,
296.568,2003,3,MYS,,,,,,,,,,,,,
234.027,2003,4,MYS,,,,,,,,,,,,,
230.924,2003,5,MYS,,,,,,,,,,,,,
224.128,2003,6,MYS,,,,,,,,,,,,,
228.579,2003,7,MYS,,,,,,,,,,,,,
234.632,2003,8,MYS,,,,,,,,,,,,,
227.919,2003,9,MYS,,,,,,,,,,,,,
369.906,2003,10,MYS,,,,,,,,,,,,,
342.523,2003,11,MYS,,,,,,,,,,,,,
364.392,2003,12,MYS,,,,,,,,,,,,,
302.505,2004,1,MYS,,,,,,,,,,,,,
133.581,2004,2,MYS,,,,,,,,,,,,,
208.65,2004,3,MYS,,,,,,,,,,,,,
205.132,2004,4,MYS,,,,,,,,,,,,,
320.479,2004,5,MYS,,,,,,,,,,,,,
151.96,2004,6,MYS,,,,,,,,,,,,,
221.767,2004,7,MYS,,,,,,,,,,,,,
137.019,2004,8,MYS,,,,,,,,,,,,,
257.435,2004,9,MYS,,,,,,,,,,,,,
260.136,2004,10,MYS,,,,,,,,,,,,,
311.02,2004,11,MYS,,,,,,,,,,,,,
396.355,2004,12,MYS,,,,,,,,,,,,,
161.505,2005,1,MYS,,,,,,,,,,,,,
121.687,2005,2,MYS,,,,,,,,,,,,,
211.511,2005,3,MYS,,,,,,,,,,,,,
161.965,2005,4,MYS,,,,,,,,,,,,,
267.237,2005,5,MYS,,,,,,,,,,,,,
214.647,2005,6,MYS,,,,,,,,,,,,,
200.019,2005,7,MYS,,,,,,,,,,,,,
210.78,2005,8,MYS,,,,,,,,,,,,,
195.417,2005,9,MYS,,,,,,,,,,,,,
357.477,2005,10,MYS,,,,,,,,,,,,,
320.285,2005,11,MYS,,,,,,,,,,,,,
429.711,2005,12,MYS,,,,,,,,,,,,,
329.691,2006,1,MYS,,,,,,,,,,,,,
251.702,2006,2,MYS,,,,,,,,,,,,,
215.751,2006,3,MYS,,,,,,,,,,,,,
282.942,2006,4,MYS,,,,,,,,,,,,,
344.636,2006,5,MYS,,,,,,,,,,,,,
259.233,2006,6,MYS,,,,,,,,,,,,,
159.792,2006,7,MYS,,,,,,,,,,,,,
212.363,2006,8,MYS,,,,,,,,,,,,,
247.297,2006,9,MYS,,,,,,,,,,,,,
232.878,2006,10,MYS,,,,,,,,,,,,,
254.186,2006,11,MYS,,,,,,,,,,,,,
408.959,2006,12,MYS,,,,,,,,,,,,,
407.206,2007,1,MYS,,,,,,,,,,,,,
223.85,2007,2,MYS,,,,,,,,,,,,,
208.378,2007,3,MYS,,,,,,,,,,,,,
250.219,2007,4,MYS,,,,,,,,,,,,,
229.067,2007,5,MYS,,,,,,,,,,,,,
262.087,2007,6,MYS,,,,,,,,,,,,,
280.819,2007,7,MYS,,,,,,,,,,,,,
234.801,2007,8,MYS,,,,,,,,,,,,,
281.564,2007,9,MYS,,,,,,,,,,,,,
293.974,2007,10,MYS,,,,,,,,,,,,,
281.827,2007,11,MYS,,,,,,,,,,,,,
404.852,2007,12,MYS,,,,,,,,,,,,,
267.941,2008,1,MYS,,,,,,,,,,,,,
343.12,2008,2,MYS,,,,,,,,,,,,,
380.273,2008,3,MYS,,,,,,,,,,,,,
283.817,2008,4,MYS,,,,,,,,,,,,,
248.896,2008,5,MYS,,,,,,,,,,,,,
239.105,2008,6,MYS,,,,,,,,,,,,,
275.922,2008,7,MYS,,,,,,,,,,,,,
298.487,2008,8,MYS,,,,,,,,,,,,,
275.404,2008,9,MYS,,,,,,,,,,,,,
435.121,2008,10,MYS,,,,,,,,,,,,,
327.493,2008,11,MYS,,,,,,,,,,,,,
419.777,2008,12,MYS,,,,,,,,,,,,,
542.897,2009,1,MYS,,,,,,,,,,,,,
286.91,2009,2,MYS,,,,,,,,,,,,,
354.586,2009,3,MYS,,,,,,,,,,,,,
269.434,2009,4,MYS,,,,,,,,,,,,,
252.179,2009,5,MYS,,,,,,,,,,,,,
145.877,2009,6,MYS,,,,,,,,,,,,,
155.875,2009,7,MYS,,,,,,,,,,,,,
243.309,2009,8,MYS,,,,,,,,,,,,,
179.865,2009,9,MYS,,,,,,,,,,,,,
285.759,2009,10,MYS,,,,,,,,,,,,,
342.882,2009,11,MYS,,,,,,,,,,,,,
392.056,2009,12,MYS,,,,,,,,,,,,,
256.014,2010,1,MYS,,,,,,,,,,,,,
107.731,2010,2,MYS,,,,,,,,,,,,,
181.705,2010,3,MYS,,,,,,,,,,,,,
243.02,2010,4,MYS,,,,,,,,,,,,,
301.603,2010,5,MYS,,,,,,,,,,,,,
252.735,2010,6,MYS,,,,,,,,,,,,,
286.155,2010,7,MYS,,,,,,,,,,,,,
287.222,2010,8,MYS,,,,,,,,,,,,,
291.476,2010,9,MYS,,,,,,,,,,,,,
229.819,2010,10,MYS,,,,,,,,,,,,,
352.07,2010,11,MYS,,,,,,,,,,,,,
380.536,2010,12,MYS,,,,,,,,,,,,,
447.97,2011,1,MYS,,,,,,,,,,,,,
262.378,2011,2,MYS,,,,,,,,,,,,,
409.674,2011,3,MYS,,,,,,,,,,,,,
207.477,2011,4,MYS,,,,,,,,,,,,,
272.84,2011,5,MYS,,,,,,,,,,,,,
244.528,2011,6,MYS,,,,,,,,,,,,,
123.507,2011,7,MYS,,,,,,,,,,,,,
217.843,2011,8,MYS,,,,,,,,,,,,,
196.051,2011,9,MYS,,,,,,,,,,,,,
340.665,2011,10,MYS,,,,,,,,,,,,,
317.853,2011,11,MYS,,,,,,,,,,,,,
436.91,2011,12,MYS,,,,,,,,,,,,,
353.21,2012,1,MYS,,,,,,,,,,,,,
251.939,2012,2,MYS,,,,,,,,,,,,,
302.721,2012,3,MYS,,,,,,,,,,,,,
303.33,2012,4,MYS,,,,,,,,,,,,,
281.159,2012,5,MYS,,,,,,,,,,,,,
148.54,2012,6,MYS,,,,,,,,,,,,,
231.814,2012,7,MYS,,,,,,,,,,,,,
194.212,2012,8,MYS,,,,,,,,,,,,,
186.175,2012,9,MYS,,,,,,,,,,,,,
299.408,2012,10,MYS,,,,,,,,,,,,,
407.632,2012,11,MYS,,,,,,,,,,,,,
352.018,2012,12,MYS,,,,,,,,,,,,,
271.148,2013,1,MYS,,,,,,,,,,,,,
364.792,2013,2,MYS,,,,,,,,,,,,,
165.716,2013,3,MYS,,,,,,,,,,,,,
236.86,2013,4,MYS,,,,,,,,,,,,,
261.357,2013,5,MYS,,,,,,,,,,,,,
150.498,2013,6,MYS,,,,,,,,,,,,,
179.467,2013,7,MYS,,,,,,,,,,,,,
249.371,2013,8,MYS,,,,,,,,,,,,,
258.185,2013,9,MYS,,,,,,,,,,,,,
275.905,2013,10,MYS,,,,,,,,,,,,,
448.057,2013,11,MYS,,,,,,,,,,,,,
374.825,2013,12,MYS,,,,,,,,,,,,,
317.316,2014,1,MYS,,,,,,,,,,,,,
94.7298,2014,2,MYS,,,,,,,,,,,,,
126.277,2014,3,MYS,,,,,,,,,,,,,
186.344,2014,4,MYS,,,,,,,,,,,,,
262.586,2014,5,MYS,,,,,,,,,,,,,
140.361,2014,6,MYS,,,,,,,,,,,,,
187.764,2014,7,MYS,,,,,,,,,,,,,
314.696,2014,8,MYS,,,,,,,,,,,,,
191.77,2014,9,MYS,,,,,,,,,,,,,
293.778,2014,10,MYS,,,,,,,,,,,,,
337.566,2014,11,MYS,,,,,,,,,,,,,
462.979,2014,12,MYS,,,,,,,,,,,,,
327.939,2015,1,MYS,,,,,,,,,,,,,
148.93,2015,2,MYS,,,,,,,,,,,,,4.345238095
