"logLik" "logLik_se" "beta" "im_s" "i_im" "psi" "rho" "tau" "sigma_dem" "sigma_env" "Er_0" "Ir_0" "Im_0" "md" "delta" "R_0" "P_0"
-629.19378695485 0.0554032065586482 0.409681087987834 0.0850092897608448 0.256722958983243 2.36368551048027 0.0197822697577177 0.0028565427751093 1.69214106363724 0.0736548765502781 0.000375675167875122 0.000867205935232031 0.0344038570880932 0.1 0.0272 150 1661000
-627.28637445888 0.0478769611589467 0.422241913703172 0.0912564479225463 0.323858873046139 1.73414061041424 0.0498621296488749 0.00655152684688161 0.950686048222022 0.0562227222826601 0.000200244343386826 0.000311234547616062 0.689969765887323 0.1 0.0272 150 1661000
-629.538843726703 0.0589459733451044 0.450806411278444 0.574700379289862 0.288526199117664 4.82252641344105 0.0105710831708754 0.00141809951520548 2.24220229468839 0.124779619018752 0.000881326215689517 0.00156710479971524 0.211361408727499 0.1 0.0272 150 1661000
-629.076639204525 0.0481919993824257 0.449745969128179 0.0819015951350424 0.255472214980583 2.72195102445984 0.0154028654429889 0.00221348029423274 1.91325770407886 0.0415314687392585 0.000613452391737246 0.00111900990404826 0.0477242464736585 0.1 0.0272 150 1661000
-629.76992369906 0.0492075717716825 0.44437425382246 0.594140155624687 0.298900465084992 3.20175024447838 0.0155499969550232 0.00218327781013939 1.78792827224524 0.112482303741218 0.000568005072096354 0.0010585902456872 0.046231160352928 0.1 0.0272 150 1661000
-628.37734679953 0.0563976755148578 0.427268645780911 0.214241801399549 0.28556399805303 3.40843969418205 0.0168116241308617 0.00245164263921503 1.70873632528251 0.0522939883528849 0.00050691320492387 0.00104644075862521 0.432275438852884 0.1 0.0272 150 1661000
-644.339053287323 0.0682048431669992 0.0233413561713615 0.0347993511300092 0.178977083564479 5.60563249209143 0.0379035407546783 0.00575236328548038 2.74159678825105 0.0161055850972487 0.0001669965608307 0.000429518970304046 0.945141010569539 0.1 0.0272 150 1661000
-626.401078034761 0.0349983635728466 0.559715079653888 0.0418624266713695 0.301975340667366 4.7204360032966 0.0218248282774456 0.00300789060417819 1.64900034534027 0.0978458713506208 0.000386718098743259 0.000776881431535787 0.719331372781955 0.1 0.0272 150 1661000
-629.209740339276 0.0563188117232245 0.446954393991496 0.223675134576794 0.279477140346721 3.71888627149014 0.0135118045399916 0.00192448164696671 1.88569841063506 0.0245994603299596 0.00054768144081912 0.00131855781631464 0.0108709250393256 0.1 0.0272 150 1661000
-628.216610886472 0.0387385715558185 0.415985798661778 0.134682739120142 0.26600380366388 3.16272423494279 0.0177119023137808 0.00246561714357149 1.711271386668 0.139988144783338 0.0004979931531309 0.000930424813648289 0.501144972770963 0.1 0.0272 150 1661000
-626.523081416754 0.0450173136321212 0.554212482153355 0.0418236903756996 0.284960840369248 4.54574597563162 0.0197991611352861 0.00281107641877976 1.86217433211182 0.0889341573639914 0.0004654196021879 0.00076354013734572 0.660830809523709 0.1 0.0272 150 1661000
-629.096387218583 0.0663285441746056 0.469111427482901 0.259486036105062 0.290542967514433 3.21489630787347 0.0142593384837106 0.0019518362885158 1.87282630556867 0.0589921502686269 0.000646516728835238 0.00111955387803299 0.022527343864273 0.1 0.0272 150 1661000
-630.705838545742 0.0484512921790752 0.418713167732329 0.788355169090691 0.280929353283612 3.51451163649443 0.0132152449594017 0.00179854128468587 1.856449672304 0.204323366638753 0.000374747775270413 0.0014799367830799 0.0461397962970859 0.1 0.0272 150 1661000
-627.248815442514 0.0515364536119014 0.477785000130261 0.077847639488424 0.2768773759413 4.20773603586461 0.0166882644990004 0.00226591671399112 1.86656719880201 0.131733996912239 0.000541576342131848 0.000996595670051937 0.624054987808073 0.1 0.0272 150 1661000
-629.002742035488 0.044371830119771 0.358972600935755 0.325158590273968 0.290375394787763 2.10071337040444 0.0328301540952128 0.0044026730548304 1.21366203180397 0.0808700555830011 0.000338651775297745 0.000447660346051329 0.683024368416576 0.1 0.0272 150 1661000
-626.641579518931 0.0406501969112056 0.538289348444351 0.0502194045280293 0.284700632789313 4.95976127313191 0.0180255703823881 0.00256764720632592 1.81055208142578 0.140439946085362 0.00053218208512931 0.000896764381878931 0.751019460238993 0.1 0.0272 150 1661000
-649.30267375158 0.0469236903729043 0.0100567736661082 0.407577437956358 0.146879152649991 3.85544278495328 0.030084165455376 0.00452691209469573 2.02191099023173 1.11791692794411 0.000243926912209705 0.000529286790589198 0.0475698027571573 0.1 0.0272 150 1661000
-627.318286992736 0.0494694649035879 0.474891153981828 0.058300852564324 0.265943255351642 3.65049820543738 0.0172354115791021 0.002461300594513 1.81881786718784 0.0788904583975267 0.000569630193808775 0.000928133035614501 0.487794235331338 0.1 0.0272 150 1661000
-629.112649223653 0.0479874151346667 0.440379359434004 0.125817928398496 0.274490769145778 3.09528955424045 0.0164902520661857 0.00236621510868972 1.75419213706366 0.021174192647029 0.00061984429180414 0.000860776861489347 0.0599552574164338 0.1 0.0272 150 1661000
-629.327980541068 0.0584282804649843 0.436556964873358 0.810333608269074 0.280771730784523 4.7346532100108 0.0104895554989617 0.00148469248018579 2.08818268848137 0.184445439507 0.0006736263043955 0.00168945501634243 0.670391367337044 0.1 0.0272 150 1661000
-626.956269458495 0.0503967269575657 0.456729126947611 0.0667890835474352 0.305582315466992 3.31285944424734 0.026778849158735 0.00385331591804912 1.25659803982353 0.121707623815087 0.000362463672983432 0.00058599292998206 0.697970531924738 0.1 0.0272 150 1661000
