"logLik" "logLik_se" "Er_0" "Ir_0" "Im_0" "beta" "sigma_dem" "sigma_env" "psi" "rho" "tau" "i_im" "im_s" "md" "delta" "R_0" "P_0"
-1129.92721269224 9.10673541909314 0.0040319462996177 0.00196110934006669 0.233142160938475 0.0191012331839721 11.4846191279407 0.0204572607612089 22.1188266000194 0.586739060945831 0.000467921595866886 0.917334546255499 0.0186209856593043 0.1 0.0272 150 1661000
-646.492467992425 0.0676891022086124 0.000533439367600145 0.00119248691159523 0.854710420818529 0.00400887817025813 5.64235328967117 0.015768252509623 18.298152451228 0.013817140381931 0.00208589896444888 0.158665287183421 0.0318195160518697 0.1 0.0272 150 1661000
-648.759289145857 0.0463186240632725 0.000126832030209017 0.000303305810054227 0.329827920951667 0.00226228173067285 2.14633756472514 0.00852770381109831 2.61666718258965 0.0550796958992424 0.00854652276346039 0.159054001158638 0.0325350463988697 0.1 0.0272 150 1661000
-781.739034848788 10.3033886882329 2.90062996698326e-05 2.46855740650675e-05 0.433153312533223 0.0152887925433183 3.32125536218074 0.0241038797205599 3.42122166912641 0.738259589203346 0.00130661237628607 0.765137211502656 0.0238189052220603 0.1 0.0272 150 1661000
-921.163097744834 19.7042570218357 0.000230382203108356 0.000289103111229957 0.0453411716952927 0.0154036824297162 1.8876641248332 0.00532032490024334 11.7184671850572 0.0591043753760444 0.00142491343591396 0.701669689677791 0.247035510852056 0.1 0.0272 150 1661000
-995.444755779607 5.22136721335279 0.000296183234005832 0.00554761052016314 0.0522973587586492 0.00488477470124174 7.98318702632393 0.00552235212922 18.4226344849419 0.484116423374169 0.00120066368385429 0.967757041560473 0.145187504325578 0.1 0.0272 150 1661000
-1297.32322624583 3.28177858577381 0.000273059494055779 0.00253010890630989 0.0233286947255763 0.000440790916656989 24.3409628607673 0.0285228957722837 60.5600592774747 0.754480373684547 0.0024613247695605 0.857753322950503 0.00728763905806921 0.1 0.0272 150 1661000
-1124.54401769456 55.6371313228705 0.000892853770678344 0.00194083948964762 0.0018355852419557 0.00497164920588065 18.6934328460514 0.0105053495550719 69.623536131369 0.380370049340537 0.000605332897998136 0.897230017533778 0.00475628613605066 0.1 0.0272 150 1661000
-953.997798485728 3.53532002975733 0.000750395462246056 0.000806578709815026 0.191020598897561 0.00970940777866442 11.4256105393481 0.00278418381508668 36.3188075355991 0.369463540372661 0.000786645773549215 0.506039726051062 0.0410977589771303 0.1 0.0272 150 1661000
-975.81390166048 1.15036404877271 0.00214268720325403 0.00326634205563236 0.0380921559712576 0.0698849709893825 8.25016964834967 0.00329434268929403 23.2330763844091 0.499755575939544 0.000802979939209545 0.729630736653811 0.0775036038493535 0.1 0.0272 150 1661000
-1946.96166655742 59.6313654075249 0.00206634385302062 0.00320407239876424 0.0886375546681338 0.0240470393529642 18.1511670238176 0.0145627890118939 166.676857825057 0.617403383968471 0.000276192490732024 0.866021582929681 0.013958949968314 0.1 0.0272 150 1661000
-832.851205333464 2.43216592819813 0.00020484228851583 0.000240796571329172 0.181515572721186 0.00544606664652283 16.5823694633637 0.00248052312899308 88.1823840694238 0.0697329934958184 0.000181817746697411 0.85646069568126 0.0274228703946643 0.1 0.0272 150 1661000
-982.959698474928 4.52467574660787 0.00814355255840104 0.0665952165526223 0.167013115344079 0.00816479195634387 29.0474342319329 0.00290814025021975 281.527904317669 0.0540385797088965 0.000432681941857586 0.740526747318641 0.0363255924630023 0.1 0.0272 150 1661000
-1219.04733857167 44.806736704089 0.00276480996724136 0.0116210402285248 0.128436551319261 0.00572423447244432 19.8321903854862 0.00991150685190793 32.2400676790643 0.308934705398097 0.000614600129866168 0.788412948049639 0.0257587365544128 0.1 0.0272 150 1661000
-981.811626551877 28.0965037458334 0.000118908268582132 0.00865190266183106 0.233081885573689 0.031151806941002 17.3806847007642 0.00490071337157758 61.6030161414225 0.437476305012601 0.0110130950347417 0.960208758224476 0.0421170346006899 0.1 0.0272 150 1661000
