"logLik" "logLik_se" "Er_0" "Ir_0" "Im_0" "beta" "sigma_dem" "sigma_env" "psi" "rho" "tau" "i_im" "im_s" "md" "delta" "R_0" "P_0"
-702.622465046808 0.511156669938188 0.00029037209471363 0.000236809028924465 0.196065604678222 0.014693114466504 1.62137208474336 0.0433499983123893 2.97297187365921 0.0530400714268884 0.000841888121933879 0.205880362585171 0.168604646065671 0.1 0.0272 150 1661000
-967.637373665041 0.69272229016157 0.00154311308199115 0.00247626888927466 0.0891255835721432 0.0027486336598138 23.4803337419451 0.0222186062366125 54.1529969065263 0.205802103612228 0.00911575338688959 0.669297506486374 0.24795825696986 0.1 0.0272 150 1661000
-651.114464051279 0.0681601489231188 0.000402190800426121 0.000551181699296497 0.626917314827764 0.0767146521153974 3.45147886992432 0.00368462590203732 11.7223825201068 0.0241541819411385 0.00365797869085742 0.249759586217188 0.0391992391518445 0.1 0.0272 150 1661000
-1023.92335663148 24.9385763324193 0.000584906041487896 0.00159351747215483 0.110539473730017 0.0361187560372212 12.0608326877662 0.010378339500611 23.1391959555165 0.718809635498201 0.00066118797023095 0.695889702816991 0.0135321115390119 0.1 0.0272 150 1661000
-1349.64515027983 89.0338878734824 0.000155067517605275 0.00113035696043727 0.0268525571734545 0.00619235060583294 2.98272071482922 0.0370060232907261 10.7526870566338 0.621223536182469 0.00104472468980335 0.919154412626001 0.0252279290348119 0.1 0.0272 150 1661000
-649.057562703546 0.0452479162255763 0.000314663493783736 0.000635003274929565 0.333586824303744 0.00868010566829016 3.37318613168856 0.00561669113506473 5.1807008084207 0.0247109096183518 0.00402853405981604 0.138399297178221 0.128009681402926 0.1 0.0272 150 1661000
-650.051072344599 0.0598799081090837 0.000458875126663159 0.00085388491469774 0.098565778278653 0.0075208839192293 4.13621742942588 0.0233783318993978 7.91324458378018 0.0166267892391431 0.00266743935406223 0.138514583647013 0.0698652470306679 0.1 0.0272 150 1661000
-1432.15024112214 2.88954358812163 0.00153257159800375 0.0124976125051839 0.0104677094825869 0.00964306401507157 42.0097512009778 0.000632322338542328 109.492355395409 0.36255422339831 0.00173890287495409 0.776353374685002 0.0332863921448278 0.1 0.0272 150 1661000
-1048.70887726498 46.237684706449 0.00410482845991616 0.00280837365030295 0.103512338173403 0.00660215291653989 6.46506796357135 0.00337050919973635 17.4705086893554 0.730638890856851 0.000350933272545101 0.912136705279538 0.0131359509164945 0.1 0.0272 150 1661000
-1000.79974585046 45.9691317071502 0.00311744103471255 0.0236881303472901 0.237753669187385 0.00634495952678758 7.13886610547505 0.0127890508393591 17.6604978391845 0.78495216078579 0.000749325959931882 0.877960653548891 0.0236791998032433 0.1 0.0272 150 1661000
