DATE,EXJPUS
1993-02-01,120.7595
1993-03-01,117.0174
1993-04-01,112.4114
1993-05-01,110.3430
1993-06-01,107.4118
1993-07-01,107.6914
1993-08-01,103.7650
1993-09-01,105.5748
1993-10-01,107.02
1993-11-01,107.8765
1993-12-01,109.9130
1994-01-01,111.4415
1994-02-01,106.3011
1994-03-01,105.0974
1994-04-01,103.4843
1994-05-01,103.7533
1994-06-01,102.5264
1994-07-01,98.4450
1994-08-01,99.9404
1994-09-01,98.7743
1994-10-01,98.3530
1994-11-01,98.0440
1994-12-01,100.1824
1995-01-01,99.7660
1995-02-01,98.2368
1995-03-01,90.5196
1995-04-01,83.6895
1995-05-01,85.1127
1995-06-01,84.6355
1995-07-01,87.3970
1995-08-01,94.7383
1995-09-01,100.5455
1995-10-01,100.8390
1995-11-01,101.94
1995-12-01,101.8495
1996-01-01,105.7514
1996-02-01,105.7880
1996-03-01,105.94
1996-04-01,107.1995
1996-05-01,106.3423
1996-06-01,108.96
1996-07-01,109.1909
1996-08-01,107.8659
1996-09-01,109.9310
1996-10-01,112.4123
1996-11-01,112.2958
1996-12-01,113.9810
1997-01-01,117.9124
1997-02-01,122.9621
1997-03-01,122.7738
1997-04-01,125.6377
1997-05-01,119.1924
1997-06-01,114.2857
1997-07-01,115.3759
1997-08-01,117.9295
1997-09-01,120.89
1997-10-01,121.0605
1997-11-01,125.3817
1997-12-01,129.7341
1998-01-01,129.5475
1998-02-01,125.8516
1998-03-01,129.0823
1998-04-01,131.7536
1998-05-01,134.8960
1998-06-01,140.3305
1998-07-01,140.7874
1998-08-01,144.68
1998-09-01,134.4805
1998-10-01,121.0486
1998-11-01,120.2895
1998-12-01,117.0709
1999-01-01,113.29
1999-02-01,116.6684
1999-03-01,119.4730
1999-04-01,119.7723
1999-05-01,121.9995
1999-06-01,120.7245
1999-07-01,119.3305
1999-08-01,113.2268
1999-09-01,106.8752
1999-10-01,105.9650
1999-11-01,104.6485
1999-12-01,102.5843
2000-01-01,105.2960
2000-02-01,109.3885
2000-03-01,106.3074
2000-04-01,105.6270
2000-05-01,108.3205
2000-06-01,106.1255
2000-07-01,108.2115
2000-08-01,108.0804
2000-09-01,106.8375
2000-10-01,108.4429
2000-11-01,109.0095
2000-12-01,112.2090
2001-01-01,116.6719
2001-02-01,116.2337
2001-03-01,121.5050
2001-04-01,123.7710
2001-05-01,121.7682
2001-06-01,122.3510
2001-07-01,124.4981
2001-08-01,121.3670
2001-09-01,118.6117
2001-10-01,121.4536
2001-11-01,122.4055
2001-12-01,127.5945
2002-01-01,132.6833
2002-02-01,133.6426
2002-03-01,131.0610
2002-04-01,130.7718
2002-05-01,126.3750
2002-06-01,123.2905
2002-07-01,117.8991
2002-08-01,118.9927
2002-09-01,121.0780
2002-10-01,123.9077
2002-11-01,121.6079
2002-12-01,121.8929
