State,time,population
MICHIGAN,8/3/1969,46
MICHIGAN,8/10/1969,60
MICHIGAN,8/24/1969,46
MICHIGAN,9/7/1969,50
MICHIGAN,9/14/1969,58
MICHIGAN,9/21/1969,50
MICHIGAN,9/28/1969,91
MICHIGAN,10/5/1969,57
MICHIGAN,10/12/1969,63
MICHIGAN,10/19/1969,72
MICHIGAN,10/26/1969,75
MICHIGAN,11/2/1969,93
MICHIGAN,11/9/1969,71
MICHIGAN,11/16/1969,65
MICHIGAN,11/23/1969,80
MICHIGAN,11/30/1969,74
MICHIGAN,12/7/1969,89
MICHIGAN,12/14/1969,53
MICHIGAN,12/21/1969,50
MICHIGAN,1/4/1970,113
MICHIGAN,1/11/1970,103
MICHIGAN,1/18/1970,85
MICHIGAN,1/25/1970,74
MICHIGAN,2/1/1970,67
MICHIGAN,2/8/1970,96
MICHIGAN,2/15/1970,67
MICHIGAN,2/22/1970,54
MICHIGAN,3/1/1970,70
MICHIGAN,3/8/1970,82
MICHIGAN,3/15/1970,77
MICHIGAN,3/22/1970,70
MICHIGAN,3/29/1970,83
MICHIGAN,4/5/1970,107
MICHIGAN,4/12/1970,54
MICHIGAN,4/19/1970,95
MICHIGAN,4/26/1970,62
MICHIGAN,5/3/1970,68
MICHIGAN,5/10/1970,76
MICHIGAN,5/17/1970,72
MICHIGAN,5/24/1970,42
MICHIGAN,5/31/1970,59
MICHIGAN,6/7/1970,77
MICHIGAN,6/14/1970,45
MICHIGAN,6/21/1970,74
MICHIGAN,6/28/1970,85
MICHIGAN,7/5/1970,49
MICHIGAN,7/12/1970,74
MICHIGAN,7/19/1970,92
MICHIGAN,7/26/1970,77
MICHIGAN,8/2/1970,87
MICHIGAN,8/9/1970,46
MICHIGAN,8/16/1970,72
MICHIGAN,8/23/1970,74
MICHIGAN,8/30/1970,73
MICHIGAN,9/6/1970,65
MICHIGAN,9/13/1970,84
MICHIGAN,9/20/1970,74
MICHIGAN,9/27/1970,73
MICHIGAN,10/4/1970,59
MICHIGAN,10/11/1970,87
MICHIGAN,10/18/1970,70
MICHIGAN,10/25/1970,84
MICHIGAN,11/8/1970,75
MICHIGAN,11/15/1970,85
MICHIGAN,11/22/1970,67
MICHIGAN,11/29/1970,61
MICHIGAN,12/6/1970,91
MICHIGAN,12/13/1970,81
MICHIGAN,12/20/1970,79
MICHIGAN,12/27/1970,73
MICHIGAN,1/3/1971,91
MICHIGAN,1/10/1971,100
MICHIGAN,1/17/1971,64
MICHIGAN,1/24/1971,90
MICHIGAN,1/31/1971,99
MICHIGAN,2/7/1971,67
MICHIGAN,2/14/1971,80
MICHIGAN,2/21/1971,111
MICHIGAN,2/28/1971,116
MICHIGAN,3/7/1971,49
MICHIGAN,3/14/1971,74
MICHIGAN,3/21/1971,124
MICHIGAN,3/28/1971,111
MICHIGAN,4/4/1971,79
MICHIGAN,4/11/1971,89
MICHIGAN,4/18/1971,88
MICHIGAN,4/25/1971,71
MICHIGAN,5/2/1971,95
MICHIGAN,5/9/1971,103
MICHIGAN,5/16/1971,92
MICHIGAN,5/23/1971,85
MICHIGAN,5/30/1971,80
MICHIGAN,6/6/1971,81
MICHIGAN,6/13/1971,70
MICHIGAN,6/20/1971,68
MICHIGAN,6/27/1971,68
MICHIGAN,7/4/1971,64
MICHIGAN,7/11/1971,72
MICHIGAN,7/18/1971,79
MICHIGAN,7/25/1971,72
MICHIGAN,8/1/1971,83
MICHIGAN,8/8/1971,91
MICHIGAN,8/15/1971,52
MICHIGAN,8/22/1971,65
