State,time,population
MICHIGAN,7/18/1982,11
MICHIGAN,7/25/1982,8
MICHIGAN,8/1/1982,14
MICHIGAN,8/8/1982,20
MICHIGAN,8/15/1982,16
MICHIGAN,8/22/1982,17
MICHIGAN,8/29/1982,19
MICHIGAN,9/5/1982,14
MICHIGAN,9/12/1982,10
MICHIGAN,9/19/1982,24
MICHIGAN,9/26/1982,14
MICHIGAN,10/3/1982,26
MICHIGAN,10/10/1982,16
MICHIGAN,10/17/1982,10
MICHIGAN,10/24/1982,8
MICHIGAN,10/31/1982,7
MICHIGAN,11/7/1982,12
MICHIGAN,11/14/1982,19
MICHIGAN,11/21/1982,6
MICHIGAN,11/28/1982,14
MICHIGAN,12/5/1982,19
MICHIGAN,12/12/1982,19
MICHIGAN,12/19/1982,7
MICHIGAN,1/9/1983,34
MICHIGAN,1/16/1983,17
MICHIGAN,1/23/1983,27
MICHIGAN,1/30/1983,23
MICHIGAN,2/6/1983,6
MICHIGAN,2/13/1983,25
MICHIGAN,2/20/1983,20
MICHIGAN,2/27/1983,10
MICHIGAN,3/6/1983,16
MICHIGAN,3/20/1983,8
MICHIGAN,3/27/1983,11
MICHIGAN,4/3/1983,4
MICHIGAN,4/10/1983,10
MICHIGAN,4/17/1983,8
MICHIGAN,4/24/1983,19
MICHIGAN,5/1/1983,8
MICHIGAN,5/8/1983,14
MICHIGAN,5/15/1983,8
MICHIGAN,5/22/1983,9
MICHIGAN,5/29/1983,13
MICHIGAN,6/5/1983,13
MICHIGAN,6/12/1983,10
MICHIGAN,6/19/1983,7
MICHIGAN,6/26/1983,9
MICHIGAN,7/3/1983,5
MICHIGAN,7/10/1983,6
MICHIGAN,7/17/1983,12
MICHIGAN,7/24/1983,12
MICHIGAN,7/31/1983,11
MICHIGAN,8/7/1983,13
MICHIGAN,8/14/1983,2
MICHIGAN,8/21/1983,7
MICHIGAN,8/28/1983,8
MICHIGAN,9/4/1983,8
MICHIGAN,9/11/1983,12
MICHIGAN,9/18/1983,15
MICHIGAN,9/25/1983,18
MICHIGAN,10/2/1983,13
MICHIGAN,10/9/1983,11
MICHIGAN,10/16/1983,7
MICHIGAN,10/23/1983,10
MICHIGAN,10/30/1983,7
MICHIGAN,11/6/1983,15
MICHIGAN,11/13/1983,5
MICHIGAN,11/27/1983,13
MICHIGAN,12/4/1983,30
MICHIGAN,12/11/1983,1
MICHIGAN,12/18/1983,8
MICHIGAN,12/25/1983,13
MICHIGAN,1/1/1984,8
MICHIGAN,1/8/1984,4
MICHIGAN,1/15/1984,2
MICHIGAN,1/22/1984,18
MICHIGAN,1/29/1984,6
MICHIGAN,2/5/1984,6
MICHIGAN,2/12/1984,12
MICHIGAN,2/19/1984,4
MICHIGAN,2/26/1984,17
MICHIGAN,3/4/1984,6
MICHIGAN,3/11/1984,6
MICHIGAN,3/18/1984,4
MICHIGAN,3/25/1984,8
MICHIGAN,4/1/1984,7
MICHIGAN,4/8/1984,4
MICHIGAN,4/15/1984,8
MICHIGAN,4/22/1984,11
MICHIGAN,4/29/1984,10
MICHIGAN,5/6/1984,5
MICHIGAN,5/13/1984,16
MICHIGAN,5/27/1984,11
MICHIGAN,6/3/1984,19
MICHIGAN,6/10/1984,6
MICHIGAN,6/17/1984,9
MICHIGAN,6/24/1984,12
MICHIGAN,7/1/1984,6
MICHIGAN,7/8/1984,3
MICHIGAN,7/15/1984,6
MICHIGAN,7/22/1984,7
MICHIGAN,7/29/1984,12
MICHIGAN,8/5/1984,7
MICHIGAN,8/12/1984,8
MICHIGAN,8/26/1984,5
MICHIGAN,9/2/1984,2
MICHIGAN,9/16/1984,11
MICHIGAN,9/23/1984,9
MICHIGAN,9/30/1984,13
MICHIGAN,10/7/1984,6
MICHIGAN,10/14/1984,7
MICHIGAN,10/21/1984,3
MICHIGAN,10/28/1984,14
MICHIGAN,11/4/1984,3
MICHIGAN,11/11/1984,6
MICHIGAN,11/18/1984,8
MICHIGAN,11/25/1984,3
MICHIGAN,12/2/1984,11
MICHIGAN,12/9/1984,9
MICHIGAN,12/16/1984,14
MICHIGAN,12/23/1984,5
MICHIGAN,12/30/1984,2
MICHIGAN,1/6/1985,10
MICHIGAN,1/13/1985,15
MICHIGAN,1/20/1985,5
MICHIGAN,1/27/1985,28
MICHIGAN,2/3/1985,17
MICHIGAN,2/10/1985,11
MICHIGAN,2/17/1985,6
MICHIGAN,2/24/1985,3
MICHIGAN,3/3/1985,6
MICHIGAN,3/10/1985,7
MICHIGAN,3/17/1985,9
MICHIGAN,3/24/1985,5
MICHIGAN,3/31/1985,14
MICHIGAN,4/7/1985,7
MICHIGAN,4/14/1985,8
MICHIGAN,4/21/1985,7
MICHIGAN,4/28/1985,8
MICHIGAN,5/5/1985,1
MICHIGAN,5/12/1985,3
MICHIGAN,5/19/1985,7
MICHIGAN,5/26/1985,4
MICHIGAN,6/2/1985,9
MICHIGAN,6/9/1985,15
MICHIGAN,6/16/1985,8
MICHIGAN,6/23/1985,9
MICHIGAN,6/30/1985,10
MICHIGAN,7/7/1985,6
MICHIGAN,7/14/1985,8
MICHIGAN,7/21/1985,6
MICHIGAN,7/28/1985,4
MICHIGAN,8/4/1985,3
MICHIGAN,8/11/1985,5
MICHIGAN,8/18/1985,3
MICHIGAN,8/25/1985,4
MICHIGAN,9/1/1985,4
MICHIGAN,9/8/1985,4
MICHIGAN,9/15/1985,5
MICHIGAN,9/22/1985,7
MICHIGAN,11/3/1985,5
MICHIGAN,12/1/1985,4
MICHIGAN,12/8/1985,5
MICHIGAN,12/15/1985,7
MICHIGAN,12/22/1985,5
MICHIGAN,12/29/1985,1
MICHIGAN,1/5/1986,4
MICHIGAN,1/12/1986,6
MICHIGAN,1/19/1986,4
MICHIGAN,1/26/1986,7
MICHIGAN,2/2/1986,10
MICHIGAN,2/9/1986,1
MICHIGAN,2/16/1986,6
MICHIGAN,2/23/1986,6
MICHIGAN,3/2/1986,2
MICHIGAN,3/9/1986,1
MICHIGAN,3/16/1986,3
MICHIGAN,3/23/1986,5
MICHIGAN,3/30/1986,6
MICHIGAN,4/6/1986,4
MICHIGAN,4/13/1986,2
MICHIGAN,4/20/1986,7
MICHIGAN,4/27/1986,4
MICHIGAN,5/4/1986,3
MICHIGAN,5/11/1986,6
MICHIGAN,5/25/1986,5
MICHIGAN,6/1/1986,5
MICHIGAN,6/8/1986,3
MICHIGAN,6/15/1986,2
MICHIGAN,6/22/1986,4
MICHIGAN,6/29/1986,2
MICHIGAN,7/6/1986,3
MICHIGAN,7/13/1986,3
MICHIGAN,7/20/1986,3
MICHIGAN,7/27/1986,4
MICHIGAN,8/4/1986,5
MICHIGAN,8/10/1986,7
MICHIGAN,8/17/1986,5
MICHIGAN,9/14/1986,8
MICHIGAN,10/12/1986,5
MICHIGAN,11/2/1986,7
MICHIGAN,11/23/1986,2
MICHIGAN,11/30/1986,10
MICHIGAN,12/7/1986,8
MICHIGAN,12/21/1986,6
MICHIGAN,12/22/1986,5
MICHIGAN,1/4/1987,8
MICHIGAN,1/11/1987,8
MICHIGAN,1/25/1987,5
MICHIGAN,2/1/1987,16
MICHIGAN,2/8/1987,13
MICHIGAN,2/15/1987,12
MICHIGAN,2/22/1987,19
MICHIGAN,3/1/1987,21
MICHIGAN,3/8/1987,14
MICHIGAN,3/15/1987,17
MICHIGAN,3/22/1987,17
MICHIGAN,3/29/1987,11
MICHIGAN,4/5/1987,17
MICHIGAN,4/12/1987,9
MICHIGAN,4/19/1987,7
MICHIGAN,4/26/1987,13
MICHIGAN,5/3/1987,13
MICHIGAN,5/10/1987,12
MICHIGAN,5/17/1987,13
MICHIGAN,5/24/1987,17
MICHIGAN,5/31/1987,12
MICHIGAN,6/7/1987,10
MICHIGAN,6/14/1987,21
MICHIGAN,6/21/1987,22
MICHIGAN,6/28/1987,12
MICHIGAN,7/5/1987,17
MICHIGAN,7/12/1987,7
MICHIGAN,7/19/1987,6
MICHIGAN,7/26/1987,23
MICHIGAN,8/2/1987,9
MICHIGAN,8/9/1987,11
MICHIGAN,8/16/1987,11
MICHIGAN,8/23/1987,9
MICHIGAN,8/30/1987,5
MICHIGAN,9/6/1987,8
MICHIGAN,9/13/1987,7
MICHIGAN,9/20/1987,8
MICHIGAN,9/27/1987,11
MICHIGAN,10/4/1987,5
MICHIGAN,10/11/1987,5
MICHIGAN,10/18/1987,1
MICHIGAN,10/25/1987,15
MICHIGAN,11/1/1987,7
MICHIGAN,11/8/1987,5
MICHIGAN,11/15/1987,6
MICHIGAN,11/22/1987,5
MICHIGAN,11/29/1987,7
MICHIGAN,12/6/1987,14
MICHIGAN,12/13/1987,20
MICHIGAN,12/20/1987,5
MICHIGAN,12/27/1987,8
