"Country or Area","Year","Area","Month","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Republic of Korea","2011","Total","September","Data tabulated by year of occurrence","Final figure, complete","2013","38963","1"
"Republic of Korea","2011","Total","October","Data tabulated by year of occurrence","Final figure, complete","2013","38359","1"
"Republic of Korea","2011","Total","November","Data tabulated by year of occurrence","Final figure, complete","2013","37328","1"
"Republic of Korea","2011","Total","December","Data tabulated by year of occurrence","Final figure, complete","2013","33990","1"
"Republic of Korea","2011","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2013","0","1"
"Republic of Korea","2010","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2012","470171","1"
"Republic of Korea","2010","Total","January","Data tabulated by year of occurrence","Final figure, complete","2012","42936","1"
"Republic of Korea","2010","Total","February","Data tabulated by year of occurrence","Final figure, complete","2012","36639","1"
"Republic of Korea","2010","Total","March","Data tabulated by year of occurrence","Final figure, complete","2012","40975","1"
"Republic of Korea","2010","Total","April","Data tabulated by year of occurrence","Final figure, complete","2012","38336","1"
"Republic of Korea","2010","Total","May","Data tabulated by year of occurrence","Final figure, complete","2012","37005","1"
"Republic of Korea","2010","Total","June","Data tabulated by year of occurrence","Final figure, complete","2012","36028","1"
"Republic of Korea","2010","Total","July","Data tabulated by year of occurrence","Final figure, complete","2012","37106","1"
"Republic of Korea","2010","Total","August","Data tabulated by year of occurrence","Final figure, complete","2012","38392","1"
"Republic of Korea","2010","Total","September","Data tabulated by year of occurrence","Final figure, complete","2012","42294","1"
"Republic of Korea","2010","Total","October","Data tabulated by year of occurrence","Final figure, complete","2012","43625","1"
"Republic of Korea","2010","Total","November","Data tabulated by year of occurrence","Final figure, complete","2012","41318","1"
"Republic of Korea","2010","Total","December","Data tabulated by year of occurrence","Final figure, complete","2012","35517","1"
"Republic of Korea","2010","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2012","0","1"
"Republic of Korea","2009","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2011","444849","1"
"Republic of Korea","2009","Total","January","Data tabulated by year of occurrence","Final figure, complete","2011","44149","1"
"Republic of Korea","2009","Total","February","Data tabulated by year of occurrence","Final figure, complete","2011","36681","1"
"Republic of Korea","2009","Total","March","Data tabulated by year of occurrence","Final figure, complete","2011","39834","1"
"Republic of Korea","2009","Total","April","Data tabulated by year of occurrence","Final figure, complete","2011","37539","1"
"Republic of Korea","2009","Total","May","Data tabulated by year of occurrence","Final figure, complete","2011","35864","1"
"Republic of Korea","2009","Total","June","Data tabulated by year of occurrence","Final figure, complete","2011","34122","1"
"Republic of Korea","2009","Total","July","Data tabulated by year of occurrence","Final figure, complete","2011","35779","1"
"Republic of Korea","2009","Total","August","Data tabulated by year of occurrence","Final figure, complete","2011","36169","1"
"Republic of Korea","2009","Total","September","Data tabulated by year of occurrence","Final figure, complete","2011","38187","1"
"Republic of Korea","2009","Total","October","Data tabulated by year of occurrence","Final figure, complete","2011","37737","1"
"Republic of Korea","2009","Total","November","Data tabulated by year of occurrence","Final figure, complete","2011","35172","1"
"Republic of Korea","2009","Total","December","Data tabulated by year of occurrence","Final figure, complete","2011","33616","1"
"Republic of Korea","2009","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2011","0","1"
"Republic of Korea","2008","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2009","465892","1"
"Republic of Korea","2008","Total","January","Data tabulated by year of occurrence","Final figure, complete","2009","46747","1"
"Republic of Korea","2008","Total","February","Data tabulated by year of occurrence","Final figure, complete","2009","39495","1"
"Republic of Korea","2008","Total","March","Data tabulated by year of occurrence","Final figure, complete","2009","41318","1"
"Republic of Korea","2008","Total","April","Data tabulated by year of occurrence","Final figure, complete","2009","38783","1"
"Republic of Korea","2008","Total","May","Data tabulated by year of occurrence","Final figure, complete","2009","37598","1"
"Republic of Korea","2008","Total","June","Data tabulated by year of occurrence","Final figure, complete","2009","35035","1"
"Republic of Korea","2008","Total","July","Data tabulated by year of occurrence","Final figure, complete","2009","38042","1"
"Republic of Korea","2008","Total","August","Data tabulated by year of occurrence","Final figure, complete","2009","37787","1"
"Republic of Korea","2008","Total","September","Data tabulated by year of occurrence","Final figure, complete","2009","40037","1"
"Republic of Korea","2008","Total","October","Data tabulated by year of occurrence","Final figure, complete","2009","39886","1"
"Republic of Korea","2008","Total","November","Data tabulated by year of occurrence","Final figure, complete","2009","36473","1"
"Republic of Korea","2008","Total","December","Data tabulated by year of occurrence","Final figure, complete","2009","34691","1"
"Republic of Korea","2008","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2009","0","1"
"Republic of Korea","2007","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2009","493189","1"
"Republic of Korea","2007","Total","January","Data tabulated by year of occurrence","Final figure, complete","2009","43490","1"
"Republic of Korea","2007","Total","February","Data tabulated by year of occurrence","Final figure, complete","2009","39264","1"
"Republic of Korea","2007","Total","March","Data tabulated by year of occurrence","Final figure, complete","2009","43325","1"
"Republic of Korea","2007","Total","April","Data tabulated by year of occurrence","Final figure, complete","2009","40048","1"
"Republic of Korea","2007","Total","May","Data tabulated by year of occurrence","Final figure, complete","2009","39653","1"
"Republic of Korea","2007","Total","June","Data tabulated by year of occurrence","Final figure, complete","2009","36854","1"
"Republic of Korea","2007","Total","July","Data tabulated by year of occurrence","Final figure, complete","2009","39228","1"
"Republic of Korea","2007","Total","August","Data tabulated by year of occurrence","Final figure, complete","2009","43726","1"
"Republic of Korea","2007","Total","September","Data tabulated by year of occurrence","Final figure, complete","2009","44520","1"
"Republic of Korea","2007","Total","October","Data tabulated by year of occurrence","Final figure, complete","2009","45322","1"
"Republic of Korea","2007","Total","November","Data tabulated by year of occurrence","Final figure, complete","2009","41451","1"
"Republic of Korea","2007","Total","December","Data tabulated by year of occurrence","Final figure, complete","2009","36308","1"
"Republic of Korea","2007","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2009","0","1"
"Republic of Korea","2006","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2007","451514","2"
"Republic of Korea","2006","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2009","448153","1"
"Republic of Korea","2006","Total","January","Data tabulated by year of occurrence","Final figure, complete","2009","40429","1"
"Republic of Korea","2006","Total","January","Data tabulated by year of occurrence","Final figure, complete","2007","40742","2"
"Republic of Korea","2006","Total","February","Data tabulated by year of occurrence","Final figure, complete","2007","37625","2"
"Republic of Korea","2006","Total","February","Data tabulated by year of occurrence","Final figure, complete","2009","37308","1"
"Republic of Korea","2006","Total","March","Data tabulated by year of occurrence","Final figure, complete","2009","40977","1"
"Republic of Korea","2006","Total","March","Data tabulated by year of occurrence","Final figure, complete","2007","41286","2"
"Republic of Korea","2006","Total","April","Data tabulated by year of occurrence","Final figure, complete","2007","37706","2"
"Republic of Korea","2006","Total","April","Data tabulated by year of occurrence","Final figure, complete","2009","37408","1"
"Republic of Korea","2006","Total","May","Data tabulated by year of occurrence","Final figure, complete","2009","37474","1"
"Republic of Korea","2006","Total","May","Data tabulated by year of occurrence","Final figure, complete","2007","37790","2"
"Republic of Korea","2006","Total","June","Data tabulated by year of occurrence","Final figure, complete","2007","35319","2"
"Republic of Korea","2006","Total","June","Data tabulated by year of occurrence","Final figure, complete","2009","35037","1"
"Republic of Korea","2006","Total","July","Data tabulated by year of occurrence","Final figure, complete","2009","34876","1"
"Republic of Korea","2006","Total","July","Data tabulated by year of occurrence","Final figure, complete","2007","35131","2"
"Republic of Korea","2006","Total","August","Data tabulated by year of occurrence","Final figure, complete","2007","37433","2"
"Republic of Korea","2006","Total","August","Data tabulated by year of occurrence","Final figure, complete","2009","37159","1"
"Republic of Korea","2006","Total","September","Data tabulated by year of occurrence","Final figure, complete","2009","38151","1"
"Republic of Korea","2006","Total","September","Data tabulated by year of occurrence","Final figure, complete","2007","38419","2"
"Republic of Korea","2006","Total","October","Data tabulated by year of occurrence","Final figure, complete","2007","38458","2"
"Republic of Korea","2006","Total","October","Data tabulated by year of occurrence","Final figure, complete","2009","38209","1"
"Republic of Korea","2006","Total","November","Data tabulated by year of occurrence","Final figure, complete","2009","36707","1"
"Republic of Korea","2006","Total","November","Data tabulated by year of occurrence","Final figure, complete","2007","36963","2"
"Republic of Korea","2006","Total","December","Data tabulated by year of occurrence","Final figure, complete","2007","34642","2"
"Republic of Korea","2006","Total","December","Data tabulated by year of occurrence","Final figure, complete","2009","34418","1"
"Republic of Korea","2006","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2009","0","1"
"Republic of Korea","2005","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2007","438062","2"
"Republic of Korea","2005","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2008","435031","1"
"Republic of Korea","2005","Total","January","Data tabulated by year of occurrence","Final figure, complete","2008","41096","1"
"Republic of Korea","2005","Total","January","Data tabulated by year of occurrence","Final figure, complete","2007","41395","2"
"Republic of Korea","2005","Total","February","Data tabulated by year of occurrence","Final figure, complete","2007","35861","2"
"Republic of Korea","2005","Total","February","Data tabulated by year of occurrence","Final figure, complete","2008","35590","1"
"Republic of Korea","2005","Total","March","Data tabulated by year of occurrence","Final figure, complete","2008","40772","1"
"Republic of Korea","2005","Total","March","Data tabulated by year of occurrence","Final figure, complete","2007","41078","2"
"Republic of Korea","2005","Total","April","Data tabulated by year of occurrence","Final figure, complete","2007","36617","2"
"Republic of Korea","2005","Total","April","Data tabulated by year of occurrence","Final figure, complete","2008","36340","1"
"Republic of Korea","2005","Total","May","Data tabulated by year of occurrence","Final figure, complete","2008","35672","1"
"Republic of Korea","2005","Total","May","Data tabulated by year of occurrence","Final figure, complete","2007","35926","2"
"Republic of Korea","2005","Total","June","Data tabulated by year of occurrence","Final figure, complete","2007","33692","2"
"Republic of Korea","2005","Total","June","Data tabulated by year of occurrence","Final figure, complete","2008","33442","1"
"Republic of Korea","2005","Total","July","Data tabulated by year of occurrence","Final figure, complete","2008","34362","1"
"Republic of Korea","2005","Total","July","Data tabulated by year of occurrence","Final figure, complete","2007","34614","2"
"Republic of Korea","2005","Total","August","Data tabulated by year of occurrence","Final figure, complete","2007","35946","2"
"Republic of Korea","2005","Total","August","Data tabulated by year of occurrence","Final figure, complete","2008","35677","1"
"Republic of Korea","2005","Total","September","Data tabulated by year of occurrence","Final figure, complete","2008","37085","1"
"Republic of Korea","2005","Total","September","Data tabulated by year of occurrence","Final figure, complete","2007","37324","2"
"Republic of Korea","2005","Total","October","Data tabulated by year of occurrence","Final figure, complete","2007","37210","2"
"Republic of Korea","2005","Total","October","Data tabulated by year of occurrence","Final figure, complete","2008","36946","1"
"Republic of Korea","2005","Total","November","Data tabulated by year of occurrence","Final figure, complete","2008","35391","1"
"Republic of Korea","2005","Total","November","Data tabulated by year of occurrence","Final figure, complete","2007","35582","2"
"Republic of Korea","2005","Total","December","Data tabulated by year of occurrence","Final figure, complete","2007","32817","2"
"Republic of Korea","2005","Total","December","Data tabulated by year of occurrence","Final figure, complete","2008","32658","1"
"Republic of Korea","2005","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2008","0","1"
"Republic of Korea","2004","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2007","476052","2"
"Republic of Korea","2004","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2008","472761","1"
"Republic of Korea","2004","Total","January","Data tabulated by year of occurrence","Final figure, complete","2008","45512","1"
"Republic of Korea","2004","Total","January","Data tabulated by year of occurrence","Final figure, complete","2007","45835","2"
"Republic of Korea","2004","Total","February","Data tabulated by year of occurrence","Final figure, complete","2007","41079","2"
"Republic of Korea","2004","Total","February","Data tabulated by year of occurrence","Final figure, complete","2008","40763","1"
"Republic of Korea","2004","Total","March","Data tabulated by year of occurrence","Final figure, complete","2008","45130","1"
"Republic of Korea","2004","Total","March","Data tabulated by year of occurrence","Final figure, complete","2007","45427","2"
"Republic of Korea","2004","Total","April","Data tabulated by year of occurrence","Final figure, complete","2007","40585","2"
"Republic of Korea","2004","Total","April","Data tabulated by year of occurrence","Final figure, complete","2008","40279","1"
"Republic of Korea","2004","Total","May","Data tabulated by year of occurrence","Final figure, complete","2008","38604","1"
"Republic of Korea","2004","Total","May","Data tabulated by year of occurrence","Final figure, complete","2007","38902","2"
"Republic of Korea","2004","Total","June","Data tabulated by year of occurrence","Final figure, complete","2007","36059","2"
"Republic of Korea","2004","Total","June","Data tabulated by year of occurrence","Final figure, complete","2008","35762","1"
"Republic of Korea","2004","Total","July","Data tabulated by year of occurrence","Final figure, complete","2008","37680","1"
"Republic of Korea","2004","Total","July","Data tabulated by year of occurrence","Final figure, complete","2007","37955","2"
"Republic of Korea","2004","Total","August","Data tabulated by year of occurrence","Final figure, complete","2007","38219","2"
"Republic of Korea","2004","Total","August","Data tabulated by year of occurrence","Final figure, complete","2008","37965","1"
"Republic of Korea","2004","Total","September","Data tabulated by year of occurrence","Final figure, complete","2008","38886","1"
"Republic of Korea","2004","Total","September","Data tabulated by year of occurrence","Final figure, complete","2007","39143","2"
"Republic of Korea","2004","Total","October","Data tabulated by year of occurrence","Final figure, complete","2007","40705","2"
"Republic of Korea","2004","Total","October","Data tabulated by year of occurrence","Final figure, complete","2008","40459","1"
"Republic of Korea","2004","Total","November","Data tabulated by year of occurrence","Final figure, complete","2008","37016","1"
"Republic of Korea","2004","Total","November","Data tabulated by year of occurrence","Final figure, complete","2007","37225","2"
"Republic of Korea","2004","Total","December","Data tabulated by year of occurrence","Final figure, complete","2007","34918","2"
"Republic of Korea","2004","Total","December","Data tabulated by year of occurrence","Final figure, complete","2008","34705","1"
"Republic of Korea","2004","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2008","0","1"
"Republic of Korea","2003","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2008","490543","1"
"Republic of Korea","2003","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2005","493471","2"
"Republic of Korea","2003","Total","January","Data tabulated by year of occurrence","Final figure, complete","2005","45338","2"
