"Country or Area","Year","Area","Month","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Republic of Korea","2000","Total","July","Data tabulated by year of occurrence","Final figure, complete","2003","48156","2"
"Republic of Korea","2000","Total","July","Data tabulated by year of occurrence","Final figure, complete","2008","47992","1"
"Republic of Korea","2000","Total","August","Data tabulated by year of occurrence","Final figure, complete","2008","50163","1"
"Republic of Korea","2000","Total","August","Data tabulated by year of occurrence","Final figure, complete","2003","50347","2"
"Republic of Korea","2000","Total","September","Data tabulated by year of occurrence","Final figure, complete","2008","52430","1"
"Republic of Korea","2000","Total","September","Data tabulated by year of occurrence","Final figure, complete","2003","52611","2"
"Republic of Korea","2000","Total","October","Data tabulated by year of occurrence","Final figure, complete","2008","53882","1"
"Republic of Korea","2000","Total","October","Data tabulated by year of occurrence","Final figure, complete","2003","54050","2"
"Republic of Korea","2000","Total","November","Data tabulated by year of occurrence","Final figure, complete","2003","52042","2"
"Republic of Korea","2000","Total","November","Data tabulated by year of occurrence","Final figure, complete","2008","51886","1"
"Republic of Korea","2000","Total","December","Data tabulated by year of occurrence","Final figure, complete","2008","50098","1"
"Republic of Korea","2000","Total","December","Data tabulated by year of occurrence","Final figure, complete","2003","50265","2"
"Republic of Korea","2000","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2008","0","1"
"Republic of Korea","1999","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2008","614233","1"
"Republic of Korea","1999","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2003","616322","2"
"Republic of Korea","1999","Total","January","Data tabulated by year of occurrence","Final figure, complete","2008","58134","1"
"Republic of Korea","1999","Total","January","Data tabulated by year of occurrence","Final figure, complete","2003","58320","2"
"Republic of Korea","1999","Total","February","Data tabulated by year of occurrence","Final figure, complete","2008","52863","1"
"Republic of Korea","1999","Total","February","Data tabulated by year of occurrence","Final figure, complete","2003","53054","2"
"Republic of Korea","1999","Total","March","Data tabulated by year of occurrence","Final figure, complete","2003","57215","2"
"Republic of Korea","1999","Total","March","Data tabulated by year of occurrence","Final figure, complete","2008","56992","1"
"Republic of Korea","1999","Total","April","Data tabulated by year of occurrence","Final figure, complete","2008","51899","1"
"Republic of Korea","1999","Total","April","Data tabulated by year of occurrence","Final figure, complete","2003","52117","2"
"Republic of Korea","1999","Total","May","Data tabulated by year of occurrence","Final figure, complete","2003","50188","2"
"Republic of Korea","1999","Total","May","Data tabulated by year of occurrence","Final figure, complete","2008","50017","1"
"Republic of Korea","1999","Total","June","Data tabulated by year of occurrence","Final figure, complete","2008","46280","1"
"Republic of Korea","1999","Total","June","Data tabulated by year of occurrence","Final figure, complete","2003","46465","2"
"Republic of Korea","1999","Total","July","Data tabulated by year of occurrence","Final figure, complete","2008","48252","1"
"Republic of Korea","1999","Total","July","Data tabulated by year of occurrence","Final figure, complete","2003","48425","2"
"Republic of Korea","1999","Total","August","Data tabulated by year of occurrence","Final figure, complete","2008","47970","1"
"Republic of Korea","1999","Total","August","Data tabulated by year of occurrence","Final figure, complete","2003","48130","2"
"Republic of Korea","1999","Total","September","Data tabulated by year of occurrence","Final figure, complete","2003","50695","2"
"Republic of Korea","1999","Total","September","Data tabulated by year of occurrence","Final figure, complete","2008","50503","1"
"Republic of Korea","1999","Total","October","Data tabulated by year of occurrence","Final figure, complete","2008","51632","1"
"Republic of Korea","1999","Total","October","Data tabulated by year of occurrence","Final figure, complete","2003","51762","2"
"Republic of Korea","1999","Total","November","Data tabulated by year of occurrence","Final figure, complete","2003","50083","2"
"Republic of Korea","1999","Total","November","Data tabulated by year of occurrence","Final figure, complete","2008","49941","1"
"Republic of Korea","1999","Total","December","Data tabulated by year of occurrence","Final figure, complete","2008","49750","1"
"Republic of Korea","1999","Total","December","Data tabulated by year of occurrence","Final figure, complete","2003","49868","2"
"Republic of Korea","1999","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2008","0","1"
"Republic of Korea","1998","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2002","640126","2"
"Republic of Korea","1998","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2008","634790","1"
"Republic of Korea","1998","Total","January","Data tabulated by year of occurrence","Final figure, complete","2008","59927","1"
"Republic of Korea","1998","Total","January","Data tabulated by year of occurrence","Final figure, complete","2002","60295","2"
"Republic of Korea","1998","Total","February","Data tabulated by year of occurrence","Final figure, complete","2008","56374","1"
"Republic of Korea","1998","Total","February","Data tabulated by year of occurrence","Final figure, complete","2002","56749","2"
"Republic of Korea","1998","Total","March","Data tabulated by year of occurrence","Final figure, complete","2008","59762","1"
"Republic of Korea","1998","Total","March","Data tabulated by year of occurrence","Final figure, complete","2002","60141","2"
"Republic of Korea","1998","Total","April","Data tabulated by year of occurrence","Final figure, complete","2002","54767","2"
"Republic of Korea","1998","Total","April","Data tabulated by year of occurrence","Final figure, complete","2008","54330","1"
"Republic of Korea","1998","Total","May","Data tabulated by year of occurrence","Final figure, complete","2008","51575","1"
"Republic of Korea","1998","Total","May","Data tabulated by year of occurrence","Final figure, complete","2002","51971","2"
"Republic of Korea","1998","Total","June","Data tabulated by year of occurrence","Final figure, complete","2002","49422","2"
"Republic of Korea","1998","Total","June","Data tabulated by year of occurrence","Final figure, complete","2008","49034","1"
"Republic of Korea","1998","Total","July","Data tabulated by year of occurrence","Final figure, complete","2008","49598","1"
"Republic of Korea","1998","Total","July","Data tabulated by year of occurrence","Final figure, complete","2002","50031","2"
"Republic of Korea","1998","Total","August","Data tabulated by year of occurrence","Final figure, complete","2008","49036","1"
"Republic of Korea","1998","Total","August","Data tabulated by year of occurrence","Final figure, complete","2002","49519","2"
"Republic of Korea","1998","Total","September","Data tabulated by year of occurrence","Final figure, complete","2002","53325","2"
"Republic of Korea","1998","Total","September","Data tabulated by year of occurrence","Final figure, complete","2008","52880","1"
"Republic of Korea","1998","Total","October","Data tabulated by year of occurrence","Final figure, complete","2008","52029","1"
"Republic of Korea","1998","Total","October","Data tabulated by year of occurrence","Final figure, complete","2002","52510","2"
"Republic of Korea","1998","Total","November","Data tabulated by year of occurrence","Final figure, complete","2008","49475","1"
"Republic of Korea","1998","Total","November","Data tabulated by year of occurrence","Final figure, complete","2002","50007","2"
"Republic of Korea","1998","Total","December","Data tabulated by year of occurrence","Final figure, complete","2008","50770","1"
"Republic of Korea","1998","Total","December","Data tabulated by year of occurrence","Final figure, complete","2002","51389","2"
"Republic of Korea","1998","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2008","0","1"
"Republic of Korea","1997","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2008","668344","1"
"Republic of Korea","1997","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2002","675227","2"
"Republic of Korea","1997","Total","January","Data tabulated by year of occurrence","Final figure, complete","2002","63335","2"
"Republic of Korea","1997","Total","January","Data tabulated by year of occurrence","Final figure, complete","2008","62759","1"
"Republic of Korea","1997","Total","February","Data tabulated by year of occurrence","Final figure, complete","2008","57658","1"
"Republic of Korea","1997","Total","February","Data tabulated by year of occurrence","Final figure, complete","2002","58134","2"
"Republic of Korea","1997","Total","March","Data tabulated by year of occurrence","Final figure, complete","2002","62153","2"
"Republic of Korea","1997","Total","March","Data tabulated by year of occurrence","Final figure, complete","2008","61630","1"
"Republic of Korea","1997","Total","April","Data tabulated by year of occurrence","Final figure, complete","2008","56440","1"
"Republic of Korea","1997","Total","April","Data tabulated by year of occurrence","Final figure, complete","2002","56946","2"
"Republic of Korea","1997","Total","May","Data tabulated by year of occurrence","Final figure, complete","2002","55299","2"
"Republic of Korea","1997","Total","May","Data tabulated by year of occurrence","Final figure, complete","2008","54752","1"
"Republic of Korea","1997","Total","June","Data tabulated by year of occurrence","Final figure, complete","2008","50422","1"
"Republic of Korea","1997","Total","June","Data tabulated by year of occurrence","Final figure, complete","2002","50935","2"
"Republic of Korea","1997","Total","July","Data tabulated by year of occurrence","Final figure, complete","2002","53348","2"
"Republic of Korea","1997","Total","July","Data tabulated by year of occurrence","Final figure, complete","2008","52731","1"
"Republic of Korea","1997","Total","August","Data tabulated by year of occurrence","Final figure, complete","2008","52640","1"
"Republic of Korea","1997","Total","August","Data tabulated by year of occurrence","Final figure, complete","2002","53221","2"
"Republic of Korea","1997","Total","September","Data tabulated by year of occurrence","Final figure, complete","2002","55414","2"
"Republic of Korea","1997","Total","September","Data tabulated by year of occurrence","Final figure, complete","2008","54826","1"
"Republic of Korea","1997","Total","October","Data tabulated by year of occurrence","Final figure, complete","2008","56499","1"
"Republic of Korea","1997","Total","October","Data tabulated by year of occurrence","Final figure, complete","2002","57107","2"
"Republic of Korea","1997","Total","November","Data tabulated by year of occurrence","Final figure, complete","2008","53188","1"
"Republic of Korea","1997","Total","November","Data tabulated by year of occurrence","Final figure, complete","2002","53819","2"
"Republic of Korea","1997","Total","December","Data tabulated by year of occurrence","Final figure, complete","2002","55516","2"
"Republic of Korea","1997","Total","December","Data tabulated by year of occurrence","Final figure, complete","2008","54799","1"
"Republic of Korea","1997","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2008","0","1"
"Republic of Korea","1996","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2002","692495",""
"Republic of Korea","1996","Total","January","Data tabulated by year of occurrence","Final figure, complete","2002","67521",""
"Republic of Korea","1996","Total","February","Data tabulated by year of occurrence","Final figure, complete","2002","62692",""
"Republic of Korea","1996","Total","March","Data tabulated by year of occurrence","Final figure, complete","2002","63311",""
"Republic of Korea","1996","Total","April","Data tabulated by year of occurrence","Final figure, complete","2002","56727",""
"Republic of Korea","1996","Total","May","Data tabulated by year of occurrence","Final figure, complete","2002","54647",""
"Republic of Korea","1996","Total","June","Data tabulated by year of occurrence","Final figure, complete","2002","50539",""
"Republic of Korea","1996","Total","July","Data tabulated by year of occurrence","Final figure, complete","2002","52634",""
"Republic of Korea","1996","Total","August","Data tabulated by year of occurrence","Final figure, complete","2002","54280",""
"Republic of Korea","1996","Total","September","Data tabulated by year of occurrence","Final figure, complete","2002","57768",""
"Republic of Korea","1996","Total","October","Data tabulated by year of occurrence","Final figure, complete","2002","60970",""
"Republic of Korea","1996","Total","November","Data tabulated by year of occurrence","Final figure, complete","2002","55499",""
"Republic of Korea","1996","Total","December","Data tabulated by year of occurrence","Final figure, complete","2002","55907",""
"Republic of Korea","1995","Total","Total","Data tabulated by year of occurrence","Other estimate","2000","716993",""
"Republic of Korea","1995","Total","January","Data tabulated by year of occurrence","Other estimate","2000","67199",""
"Republic of Korea","1995","Total","February","Data tabulated by year of occurrence","Other estimate","2000","65930",""
"Republic of Korea","1995","Total","March","Data tabulated by year of occurrence","Other estimate","2000","65386",""
"Republic of Korea","1995","Total","April","Data tabulated by year of occurrence","Other estimate","2000","55213",""
"Republic of Korea","1995","Total","May","Data tabulated by year of occurrence","Other estimate","2000","55711",""
"Republic of Korea","1995","Total","June","Data tabulated by year of occurrence","Other estimate","2000","53535",""
"Republic of Korea","1995","Total","July","Data tabulated by year of occurrence","Other estimate","2000","54454",""
"Republic of Korea","1995","Total","August","Data tabulated by year of occurrence","Other estimate","2000","57296",""
"Republic of Korea","1995","Total","September","Data tabulated by year of occurrence","Other estimate","2000","60055",""
"Republic of Korea","1995","Total","October","Data tabulated by year of occurrence","Other estimate","2000","61577",""
"Republic of Korea","1995","Total","November","Data tabulated by year of occurrence","Other estimate","2000","59185",""
"Republic of Korea","1995","Total","December","Data tabulated by year of occurrence","Other estimate","2000","61452",""
"Republic of Korea","1994","Total","Total","Data tabulated by year of occurrence","Other estimate","1999","722834",""
"Republic of Korea","1994","Total","January","Data tabulated by year of occurrence","Other estimate","1999","70176",""
"Republic of Korea","1994","Total","February","Data tabulated by year of occurrence","Other estimate","1999","67489",""
"Republic of Korea","1994","Total","March","Data tabulated by year of occurrence","Other estimate","1999","63176",""
"Republic of Korea","1994","Total","April","Data tabulated by year of occurrence","Other estimate","1999","60352",""
"Republic of Korea","1994","Total","May","Data tabulated by year of occurrence","Other estimate","1999","59329",""
"Republic of Korea","1994","Total","June","Data tabulated by year of occurrence","Other estimate","1999","54583",""
"Republic of Korea","1994","Total","July","Data tabulated by year of occurrence","Other estimate","1999","56438",""
"Republic of Korea","1994","Total","August","Data tabulated by year of occurrence","Other estimate","1999","56941",""
"Republic of Korea","1994","Total","September","Data tabulated by year of occurrence","Other estimate","1999","58911",""
"Republic of Korea","1994","Total","October","Data tabulated by year of occurrence","Other estimate","1999","59398",""
"Republic of Korea","1994","Total","November","Data tabulated by year of occurrence","Other estimate","1999","57983",""
"Republic of Korea","1994","Total","December","Data tabulated by year of occurrence","Other estimate","1999","58058",""
"Republic of Korea","1993","Total","Total","Data tabulated by year of occurrence","Other estimate","1998","716637",""
"Republic of Korea","1993","Total","January","Data tabulated by year of occurrence","Other estimate","1998","69722",""
"Republic of Korea","1993","Total","February","Data tabulated by year of occurrence","Other estimate","1998","69898",""
"Republic of Korea","1993","Total","March","Data tabulated by year of occurrence","Other estimate","1998","62832",""
"Republic of Korea","1993","Total","April","Data tabulated by year of occurrence","Other estimate","1998","59006",""
"Republic of Korea","1993","Total","May","Data tabulated by year of occurrence","Other estimate","1998","56369",""
"Republic of Korea","1993","Total","June","Data tabulated by year of occurrence","Other estimate","1998","53786",""
"Republic of Korea","1993","Total","July","Data tabulated by year of occurrence","Other estimate","1998","55903",""
"Republic of Korea","1993","Total","August","Data tabulated by year of occurrence","Other estimate","1998","56650",""
"Republic of Korea","1993","Total","September","Data tabulated by year of occurrence","Other estimate","1998","57924",""
"Republic of Korea","1993","Total","October","Data tabulated by year of occurrence","Other estimate","1998","58800",""
"Republic of Korea","1993","Total","November","Data tabulated by year of occurrence","Other estimate","1998","57585",""
"Republic of Korea","1993","Total","December","Data tabulated by year of occurrence","Other estimate","1998","58162",""
"Republic of Korea","1992","Total","Total","Data tabulated by year of occurrence","Other estimate","1996","728973",""
"Republic of Korea","1992","Total","January","Data tabulated by year of occurrence","Other estimate","1996","71775",""
"Republic of Korea","1992","Total","February","Data tabulated by year of occurrence","Other estimate","1996","72282",""
"Republic of Korea","1992","Total","March","Data tabulated by year of occurrence","Other estimate","1996","57494",""
"Republic of Korea","1992","Total","April","Data tabulated by year of occurrence","Other estimate","1996","57872",""
"Republic of Korea","1992","Total","May","Data tabulated by year of occurrence","Other estimate","1996","56425",""
"Republic of Korea","1992","Total","June","Data tabulated by year of occurrence","Other estimate","1996","54242",""
"Republic of Korea","1992","Total","July","Data tabulated by year of occurrence","Other estimate","1996","56276",""
"Republic of Korea","1992","Total","August","Data tabulated by year of occurrence","Other estimate","1996","57523",""
"Republic of Korea","1992","Total","September","Data tabulated by year of occurrence","Other estimate","1996","60072",""
"Republic of Korea","1992","Total","October","Data tabulated by year of occurrence","Other estimate","1996","63245",""
"Republic of Korea","1992","Total","November","Data tabulated by year of occurrence","Other estimate","1996","60338",""
"Republic of Korea","1992","Total","December","Data tabulated by year of occurrence","Other estimate","1996","61429",""
"Republic of Korea","1991","Total","Total","Data tabulated by year of occurrence","Other estimate","1996","708390",""
"Republic of Korea","1991","Total","January","Data tabulated by year of occurrence","Other estimate","1996","71222",""
"Republic of Korea","1991","Total","February","Data tabulated by year of occurrence","Other estimate","1996","71813",""
"Republic of Korea","1991","Total","March","Data tabulated by year of occurrence","Other estimate","1996","53706",""
"Republic of Korea","1991","Total","April","Data tabulated by year of occurrence","Other estimate","1996","53912",""
"Republic of Korea","1991","Total","May","Data tabulated by year of occurrence","Other estimate","1996","54202",""
"Republic of Korea","1991","Total","June","Data tabulated by year of occurrence","Other estimate","1996","50634",""
"Republic of Korea","1991","Total","July","Data tabulated by year of occurrence","Other estimate","1996","55103",""
"Republic of Korea","1991","Total","August","Data tabulated by year of occurrence","Other estimate","1996","55975",""
"Republic of Korea","1991","Total","September","Data tabulated by year of occurrence","Other estimate","1996","58485",""
"Republic of Korea","1991","Total","October","Data tabulated by year of occurrence","Other estimate","1996","62242",""
"Republic of Korea","1991","Total","November","Data tabulated by year of occurrence","Other estimate","1996","59920",""
"Republic of Korea","1991","Total","December","Data tabulated by year of occurrence","Other estimate","1996","61176",""
"Republic of Korea","1990","Total","Total","Data tabulated by year of occurrence","Other estimate","1995","648203",""
"Republic of Korea","1990","Total","January","Data tabulated by year of occurrence","Other estimate","1995","65982",""
"Republic of Korea","1990","Total","February","Data tabulated by year of occurrence","Other estimate","1995","79233",""
"Republic of Korea","1990","Total","March","Data tabulated by year of occurrence","Other estimate","1995","45483",""
"Republic of Korea","1990","Total","April","Data tabulated by year of occurrence","Other estimate","1995","49505",""
"Republic of Korea","1990","Total","May","Data tabulated by year of occurrence","Other estimate","1995","51542",""
"Republic of Korea","1990","Total","June","Data tabulated by year of occurrence","Other estimate","1995","47972",""
"Republic of Korea","1990","Total","July","Data tabulated by year of occurrence","Other estimate","1995","50981",""
"Republic of Korea","1990","Total","August","Data tabulated by year of occurrence","Other estimate","1995","51561",""
"Republic of Korea","1990","Total","September","Data tabulated by year of occurrence","Other estimate","1995","52807",""
"Republic of Korea","1990","Total","October","Data tabulated by year of occurrence","Other estimate","1995","52919",""
"Republic of Korea","1990","Total","November","Data tabulated by year of occurrence","Other estimate","1995","50734",""
"Republic of Korea","1990","Total","December","Data tabulated by year of occurrence","Other estimate","1995","49484",""
"Republic of Korea","1989","Total","Total","Data tabulated by year of occurrence","Other estimate","1994","637416",""
"Republic of Korea","1989","Total","January","Data tabulated by year of occurrence","Other estimate","1994","66877",""
"Republic of Korea","1989","Total","February","Data tabulated by year of occurrence","Other estimate","1994","74182",""
"Republic of Korea","1989","Total","March","Data tabulated by year of occurrence","Other estimate","1994","44791",""
"Republic of Korea","1989","Total","April","Data tabulated by year of occurrence","Other estimate","1994","45830",""
"Republic of Korea","1989","Total","May","Data tabulated by year of occurrence","Other estimate","1994","48032",""
"Republic of Korea","1989","Total","June","Data tabulated by year of occurrence","Other estimate","1994","45146",""
"Republic of Korea","1989","Total","July","Data tabulated by year of occurrence","Other estimate","1994","48045",""
"Republic of Korea","1989","Total","August","Data tabulated by year of occurrence","Other estimate","1994","50018",""
"Republic of Korea","1989","Total","September","Data tabulated by year of occurrence","Other estimate","1994","52964",""
"Republic of Korea","1989","Total","October","Data tabulated by year of occurrence","Other estimate","1994","53675",""
"Republic of Korea","1989","Total","November","Data tabulated by year of occurrence","Other estimate","1994","52834",""
"Republic of Korea","1989","Total","December","Data tabulated by year of occurrence","Other estimate","1994","55022",""
"Republic of Korea","1988","Total","Total","Data tabulated by year of occurrence","Other estimate","1993","630347",""
"Republic of Korea","1988","Total","January","Data tabulated by year of occurrence","Other estimate","1993","69091",""
"Republic of Korea","1988","Total","February","Data tabulated by year of occurrence","Other estimate","1993","72113",""
"Republic of Korea","1988","Total","March","Data tabulated by year of occurrence","Other estimate","1993","43210",""
"Republic of Korea","1988","Total","April","Data tabulated by year of occurrence","Other estimate","1993","44102",""
"Republic of Korea","1988","Total","May","Data tabulated by year of occurrence","Other estimate","1993","46527",""
"Republic of Korea","1988","Total","June","Data tabulated by year of occurrence","Other estimate","1993","44297",""
"Republic of Korea","1988","Total","July","Data tabulated by year of occurrence","Other estimate","1993","46895",""
"Republic of Korea","1988","Total","August","Data tabulated by year of occurrence","Other estimate","1993","49575",""
"Republic of Korea","1988","Total","September","Data tabulated by year of occurrence","Other estimate","1993","52246",""
"Republic of Korea","1988","Total","October","Data tabulated by year of occurrence","Other estimate","1993","55244",""
"Republic of Korea","1988","Total","November","Data tabulated by year of occurrence","Other estimate","1993","54689",""
"Republic of Korea","1988","Total","December","Data tabulated by year of occurrence","Other estimate","1993","52358",""
"Republic of Korea","1987","Total","Total","Data tabulated by year of occurrence","Other estimate","1992","619931",""
"Republic of Korea","1987","Total","January","Data tabulated by year of occurrence","Other estimate","1992","66552",""
"Republic of Korea","1987","Total","February","Data tabulated by year of occurrence","Other estimate","1992","72196",""
"Republic of Korea","1987","Total","March","Data tabulated by year of occurrence","Other estimate","1992","45983",""
"Republic of Korea","1987","Total","April","Data tabulated by year of occurrence","Other estimate","1992","47331",""
"Republic of Korea","1987","Total","May","Data tabulated by year of occurrence","Other estimate","1992","47138",""
"Republic of Korea","1987","Total","June","Data tabulated by year of occurrence","Other estimate","1992","45303",""
"Republic of Korea","1987","Total","July","Data tabulated by year of occurrence","Other estimate","1992","46642",""
"Republic of Korea","1987","Total","August","Data tabulated by year of occurrence","Other estimate","1992","48266",""
"Republic of Korea","1987","Total","September","Data tabulated by year of occurrence","Other estimate","1992","50197",""
"Republic of Korea","1987","Total","October","Data tabulated by year of occurrence","Other estimate","1992","53322",""
"Republic of Korea","1987","Total","November","Data tabulated by year of occurrence","Other estimate","1992","50164",""
"Republic of Korea","1987","Total","December","Data tabulated by year of occurrence","Other estimate","1992","46837",""
"Republic of Korea","1986","Total","Total","Data tabulated by year of occurrence","Other estimate","1991","631021",""
"Republic of Korea","1986","Total","January","Data tabulated by year of occurrence","Other estimate","1991","69141",""
"Republic of Korea","1986","Total","February","Data tabulated by year of occurrence","Other estimate","1991","73059",""
"Republic of Korea","1986","Total","March","Data tabulated by year of occurrence","Other estimate","1991","48196",""
"Republic of Korea","1986","Total","April","Data tabulated by year of occurrence","Other estimate","1991","47518",""
"Republic of Korea","1986","Total","May","Data tabulated by year of occurrence","Other estimate","1991","47413",""
"Republic of Korea","1986","Total","June","Data tabulated by year of occurrence","Other estimate","1991","44892",""
"Republic of Korea","1986","Total","July","Data tabulated by year of occurrence","Other estimate","1991","48482",""
"Republic of Korea","1986","Total","August","Data tabulated by year of occurrence","Other estimate","1991","49201",""
"Republic of Korea","1986","Total","September","Data tabulated by year of occurrence","Other estimate","1991","49817",""
"Republic of Korea","1986","Total","October","Data tabulated by year of occurrence","Other estimate","1991","52247",""
"Republic of Korea","1986","Total","November","Data tabulated by year of occurrence","Other estimate","1991","52244",""
"Republic of Korea","1986","Total","December","Data tabulated by year of occurrence","Other estimate","1991","48811",""
"Republic of Korea","1985","Total","Total","Data tabulated by year of occurrence","Other estimate","1991","652064",""
"Republic of Korea","1985","Total","January","Data tabulated by year of occurrence","Other estimate","1991","72680",""
"Republic of Korea","1985","Total","February","Data tabulated by year of occurrence","Other estimate","1991","74959",""
"Republic of Korea","1985","Total","March","Data tabulated by year of occurrence","Other estimate","1991","48137",""
"Republic of Korea","1985","Total","April","Data tabulated by year of occurrence","Other estimate","1991","45101",""
"Republic of Korea","1985","Total","May","Data tabulated by year of occurrence","Other estimate","1991","47080",""
"Republic of Korea","1985","Total","June","Data tabulated by year of occurrence","Other estimate","1991","46093",""
"Republic of Korea","1985","Total","July","Data tabulated by year of occurrence","Other estimate","1991","49941",""
"Republic of Korea","1985","Total","August","Data tabulated by year of occurrence","Other estimate","1991","52110",""
"Republic of Korea","1985","Total","September","Data tabulated by year of occurrence","Other estimate","1991","51425",""
"Republic of Korea","1985","Total","October","Data tabulated by year of occurrence","Other estimate","1991","57118",""
"Republic of Korea","1985","Total","November","Data tabulated by year of occurrence","Other estimate","1991","54093",""
"Republic of Korea","1985","Total","December","Data tabulated by year of occurrence","Other estimate","1991","53327",""
"Republic of Korea","1984","Total","Total","Data tabulated by year of occurrence","Other estimate","1989","665670",""
"Republic of Korea","1984","Total","January","Data tabulated by year of occurrence","Other estimate","1989","77729",""
"Republic of Korea","1984","Total","February","Data tabulated by year of occurrence","Other estimate","1989","84372",""
"Republic of Korea","1984","Total","March","Data tabulated by year of occurrence","Other estimate","1989","50156",""
"Republic of Korea","1984","Total","April","Data tabulated by year of occurrence","Other estimate","1989","48344",""
"Republic of Korea","1984","Total","May","Data tabulated by year of occurrence","Other estimate","1989","47483",""
"Republic of Korea","1984","Total","June","Data tabulated by year of occurrence","Other estimate","1989","46963",""
"Republic of Korea","1984","Total","July","Data tabulated by year of occurrence","Other estimate","1989","49963",""
"Republic of Korea","1984","Total","August","Data tabulated by year of occurrence","Other estimate","1989","51038",""
"Republic of Korea","1984","Total","September","Data tabulated by year of occurrence","Other estimate","1989","52191",""
"Republic of Korea","1984","Total","October","Data tabulated by year of occurrence","Other estimate","1989","56129",""
"Republic of Korea","1984","Total","November","Data tabulated by year of occurrence","Other estimate","1989","52354",""
"Republic of Korea","1984","Total","December","Data tabulated by year of occurrence","Other estimate","1989","48948",""
"Republic of Korea","1983","Total","Total","Data tabulated by year of occurrence","Other estimate","1986","746375",""
"Republic of Korea","1983","Total","January","Data tabulated by year of occurrence","Other estimate","1986","84129",""
"Republic of Korea","1983","Total","February","Data tabulated by year of occurrence","Other estimate","1986","86241",""
"Republic of Korea","1983","Total","March","Data tabulated by year of occurrence","Other estimate","1986","59582",""
"Republic of Korea","1983","Total","April","Data tabulated by year of occurrence","Other estimate","1986","55109",""
"Republic of Korea","1983","Total","May","Data tabulated by year of occurrence","Other estimate","1986","55965",""
"Republic of Korea","1983","Total","June","Data tabulated by year of occurrence","Other estimate","1986","53323",""
"Republic of Korea","1983","Total","July","Data tabulated by year of occurrence","Other estimate","1986","55951",""
"Republic of Korea","1983","Total","August","Data tabulated by year of occurrence","Other estimate","1986","56877",""
"Republic of Korea","1983","Total","September","Data tabulated by year of occurrence","Other estimate","1986","57540",""
"Republic of Korea","1983","Total","October","Data tabulated by year of occurrence","Other estimate","1986","61499",""
"Republic of Korea","1983","Total","November","Data tabulated by year of occurrence","Other estimate","1986","61257",""
"Republic of Korea","1983","Total","December","Data tabulated by year of occurrence","Other estimate","1986","58902",""
"Republic of Korea","1982","Total","Total","Data tabulated by year of occurrence","Other estimate","1987","835113",""
"Republic of Korea","1982","Total","January","Data tabulated by year of occurrence","Other estimate","1987","91668",""
"Republic of Korea","1982","Total","February","Data tabulated by year of occurrence","Other estimate","1987","92622",""
"Republic of Korea","1982","Total","March","Data tabulated by year of occurrence","Other estimate","1987","69810",""
"Republic of Korea","1982","Total","April","Data tabulated by year of occurrence","Other estimate","1987","65225",""
"Republic of Korea","1982","Total","May","Data tabulated by year of occurrence","Other estimate","1987","63398",""
"Republic of Korea","1982","Total","June","Data tabulated by year of occurrence","Other estimate","1987","62153",""
"Republic of Korea","1982","Total","July","Data tabulated by year of occurrence","Other estimate","1987","63098",""
"Republic of Korea","1982","Total","August","Data tabulated by year of occurrence","Other estimate","1987","63463",""
"Republic of Korea","1982","Total","September","Data tabulated by year of occurrence","Other estimate","1987","63173",""
"Republic of Korea","1982","Total","October","Data tabulated by year of occurrence","Other estimate","1987","67431",""
"Republic of Korea","1982","Total","November","Data tabulated by year of occurrence","Other estimate","1987","65657",""
"Republic of Korea","1982","Total","December","Data tabulated by year of occurrence","Other estimate","1987","67415",""
"Republic of Korea","1981","Total","Total","Data tabulated by year of occurrence","Other estimate","1987","858557",""
"Republic of Korea","1981","Total","January","Data tabulated by year of occurrence","Other estimate","1987","87380",""
"Republic of Korea","1981","Total","February","Data tabulated by year of occurrence","Other estimate","1987","92659",""
"Republic of Korea","1981","Total","March","Data tabulated by year of occurrence","Other estimate","1987","69649",""
"Republic of Korea","1981","Total","April","Data tabulated by year of occurrence","Other estimate","1987","65396",""
"Republic of Korea","1981","Total","May","Data tabulated by year of occurrence","Other estimate","1987","68193",""
"Republic of Korea","1981","Total","June","Data tabulated by year of occurrence","Other estimate","1987","63918",""
"Republic of Korea","1981","Total","July","Data tabulated by year of occurrence","Other estimate","1987","67053",""
"Republic of Korea","1981","Total","August","Data tabulated by year of occurrence","Other estimate","1987","68241",""
"Republic of Korea","1981","Total","September","Data tabulated by year of occurrence","Other estimate","1987","67498",""
"Republic of Korea","1981","Total","October","Data tabulated by year of occurrence","Other estimate","1987","68661",""
"Republic of Korea","1981","Total","November","Data tabulated by year of occurrence","Other estimate","1987","69605",""
"Republic of Korea","1981","Total","December","Data tabulated by year of occurrence","Other estimate","1987","70304",""
