Time,pH
5,4.542638
10,4.919998
15,5.712454
20,5.504906
25,6.12755
30,6.203022
35,6.240757
40,6.335098
45,6.523777
50,6.69359
55,6.712458
60,6.712458
65,6.731326
70,6.769062
75,6.78793
80,6.806798
85,6.863402
90,6.901138
95,7.014346
100,7.033214
105,6.97661
110,6.599556
115,2.108972
120,4.920304
125,5.222192
130,5.693892
135,3.599544
140,5.3354
145,6.09012
150,6.335404
155,6.50491
160,6.636986
165,6.863402
170,6.938874
175,6.995478
180,7.033214
185,7.07095
190,7.108992
195,7.12786
200,7.2222
205,6.09012
210,2.071236
215,2.297652
220,2.637276
225,3.241052
230,3.486336
235,4.637284
240,4.8637
245,5.505212
250,6.033516
255,5.99578
260,6.127856
265,6.2788
270,2.693881
275,2.637276
280,5.3354
285,5.825968
290,5.750496
295,5.920308
300,6.071252
305,6.410876
310,6.580688
315,6.429744
320,6.392008
325,6.65616
330,4.939172
335,1.976896
340,5.127852
345,5.505212
350,5.354268
355,5.354268
360,5.448608
365,6.127856
370,5.486344
375,6.108682
380,6.070946
385,5.674717
390,5.410566
395,5.410566
400,5.27849
405,5.08981
410,5.27849
415,6.184154
420,6.03321
425,5.995473
430,6.052078
435,5.84453
440,5.731322
445,5.825662
450,5.863398
455,6.014342
460,5.957737
465,5.920002
470,6.618118
475,6.448306
480,6.014342
485,5.93887
490,5.93887
495,5.825662
500,5.712454
505,5.580378
510,5.240754
515,4.919998
520,4.033202
525,3.863389
530,5.75019
535,5.78762
540,5.580072
545,5.5046
550,4.429123
555,4.202708
560,4.65554
565,3.99516
570,4.164972
575,4.202708
580,4.127236
585,5.636675
590,5.5046
595,5.41026
600,4.919692
605,2.353644
610,5.957431
615,5.919695
620,5.900828
625,5.712148
630,5.372524
635,5.070635
640,5.391392
645,5.731016
650,5.825356
655,5.938564
660,5.957431
665,5.9763
670,5.957431
675,5.749884
680,5.334788
685,5.391392
690,5.014032
695,5.12724
700,4.768748
705,4.617804
710,4.221576
715,4.863088
720,5.712148
725,5.561203
730,5.523468
735,5.561203
740,5.5046
745,5.5046
750,5.636675
755,5.372524
760,5.014032
765,5.240448
770,5.655544
775,5.655544
780,5.768752
785,5.919695
790,5.938564
795,5.863092
800,5.749884
805,5.674411
810,5.69328
815,5.731016
820,5.655544
825,5.749884
830,5.825356
835,5.806488
840,5.768752
845,5.749884
850,5.900828
855,5.825356
860,5.844223
865,5.69328
870,5.542336
875,5.5046
880,5.523468
885,5.580072
890,5.561203
895,5.429128
900,5.146108
905,5.731016
910,5.617808
915,5.240448
920,5.183844
925,5.070635
930,4.447992
935,4.65554
940,4.712143
945,4.787615
950,5.297052
955,5.561203
960,5.731016
965,5.844223
970,5.919695
975,5.9763
980,6.014036
985,6.146112
990,6.089508
995,6.032904
1000,6.032904
1005,6.014036
1010,5.995167
1015,5.863092
1020,5.919695
1025,5.749884
1030,5.78762
1035,5.78762
1040,5.731016
1045,5.089504
1050,4.900824
1055,4.900824
1060,5.636675
1065,5.466864
1070,5.089504
1075,5.542336
1080,5.372524
1085,5.297052
1090,5.051768
1095,5.146108
1100,5.542336
1105,5.485732
1110,5.636675
1115,5.636675
1120,5.69328
1125,5.712148
1130,5.712148
1135,5.712148
1140,5.78762
1145,5.806488
1150,5.806488
1155,5.806488
1160,5.806488
1165,5.844223
1170,5.844223
1175,5.863092
1180,5.919695
1185,5.749884
1190,5.69328
1195,5.598939
1200,5.655544
1205,5.580072
1210,5.561203
1215,5.523468
1220,5.561203
1225,5.466864
1230,5.466864
1235,5.429128
1240,5.353655
1245,5.315919
1250,5.278183
1255,5.372524
1260,5.315919
1265,5.391392
1270,5.372524
1275,5.41026
1280,5.447996
1285,5.636675
1290,5.9763
1295,5.900828
1300,5.844223
1305,5.731016
1310,5.69328
1315,5.731016
1320,5.749884
1325,5.768752
1330,5.768752
1335,5.78762
1340,5.749884
1345,5.731016
1350,5.69328
1355,5.674411
1360,5.636675
1365,5.617808
1370,5.674411
1375,5.768752
1380,5.712148
1385,5.655544
1390,5.636675
1395,5.617808
1400,5.655544
1405,5.806488
1410,5.825356
1415,5.825356
1420,5.825356
1425,5.78762
1430,5.749884
1435,5.749884
1440,5.806488
1445,5.78762
1450,5.731016
1455,5.655544
1460,5.655544
1465,5.655544
1470,5.69328
1475,5.768752
1480,5.674411
1485,5.731016
1490,5.749884
1495,5.919695
1500,5.881959
1505,5.900828
1510,5.900828
1515,5.900828
1520,5.863092
1525,5.881959
1530,5.919695
1535,5.919695
1540,5.957431
1545,5.995167
1550,5.957431
1555,5.957431
1560,5.957431
1565,5.919695
1570,5.919695
1575,5.938564
1580,5.957431
1585,5.957431
1590,5.9763
1595,5.919695
1600,5.957431
1605,5.9763
1610,5.9763
1615,6.014036
1620,6.014036
1625,5.995167
1630,6.089508
1635,6.07064
1640,6.051772
1645,6.051772
1650,6.051772
1655,6.07064
1660,6.07064
1665,6.07064
1670,6.07064
1675,6.07064
1680,6.07064
1685,5.9763
1690,5.9763
1695,5.919695
1700,5.995167
1705,5.975994
1710,5.9763
1715,5.995167
1720,6.014036
1725,6.014036
1730,6.051772
1735,6.051772
1740,6.032904
1745,6.032598
1750,6.01373
1755,6.01373
1760,6.01373
1765,5.994861
1770,6.01373
1775,6.032598
1780,6.051466
1785,6.051466
1790,6.051466
1795,6.032598
